Location served,Province,IATA,Airport name
Ampara,Eastern,AFK,Kondavattavan Tank Waterdrome
Arugam Bay,Eastern,AYY,Arugam Bay Lagoon Waterdrome
Batticaloa,Eastern,,Lady Manning Drive Waterdrome
Bentota,Southern,BJT,Bentota River Airport
Castlereigh,Central,NUF,Castlereigh Reservoir Waterdrome
Colombo - Dandugama,Western,DGM,Dandugama Water Aerodrome
Colombo - Peliyagoda,Western,KEZ,Kelani River-Peliyagoda Waterdrome
Dambulla,Central,DBU,Ibbankatuwa Tank Waterdrome ( Dambulu Oya Tank )
Dikwella,Southern,DIW,Mawella Lagoon Airport
Hambantota,Southern,HBT,Bandagiriya Tank Waterdrome
Iranamadu,Northern,IRU,Iranamadu Waterdrome
Jaffna,Northern,,Jaffna Waterdrome
Kalpitiya,North Western,,Kalpitiya Waterdrome
Kandy - Polgolla,Central,KDZ,Polgolla Reservoir Waterdrome
Kandy - Victoria,Central,KDW,Victoria Dam Waterdrome
Koggala,Southern,KCT,Koggala Lagoon Waterdrome
Nuwara Eliya,Central,NUA,Lake Gregory Waterdrome
Pasikudah,Eastern,PQD,Passikudah Waterdrome
Tissamaharama,Southern,TTW,Tissa Tank Waterdrome
Trincomalee,Eastern,THW,Trincomalee Harbour Waterdrome
