NRHP reference number,Name,Locality,County
75001741,Beechwood Hall,Newport,Cocke
69000177,Belle Meade Plantation,Belle Meade,Davidson
75001780,Brabson 's Ferry Plantation,Sevierville,Sevier
73001857,Carnton,Franklin,Williamson
75001787,Davies Manor,Memphis,Shelby
75002162,Fairvue,Gallatin,Sumner
66000722,The Hermitage,Nashville 36°12′54″N 86°36′47″W / 36.21497°N 86.61297°W / 36.21497 ; -86.61297 ( The Hermitage ),Davidson
75001795,Northcutt Plantation,McMinnville,
71000825,Rattle and Snap,Columbia 35°33′38″N 87°09′12″W / 35.56056°N 87.15333°W / 35.56056 ; -87.15333 ( Rattle and Snap ),Maury
75001781,Rose Glen,Sevierville,Sevier
69000180,Ramsey House,Knoxville,Knox
75001785,Wheatlands,Sevierville,Sevier
09000538,White Plains,Algood,Putnam
