Rank,Name,Nation,SP,FS,TFP
1,Oksana Kazakova / Artur Dmitriev,Russia,1,1,1.5
2,Elena Berezhnaya / Anton Sikharulidze,Russia,3,2,3.5
3,Mandy Wötzel / Ingo Steuer,Germany,2,3,4.0
4,Kyoko Ina / Jason Dungjen,United States,4,4,6.0
5,Shen Xue / Zhao Hongbo,China,8,5,9.0
6,Sarah Abitbol / Stéphane Bernadis,France,7,6,9.5
7,Marina Eltsova / Andrei Bushkov,Russia,5,7,9.5
8,Jenni Meno / Todd Sand,United States,6,9,12.0
9,Peggy Schwarz / Mirko Müller,Germany,9,8,12.5
10,Dorota Zagórska / Mariusz Siudek,Poland,10,11,16.0
11,Evgenia Filonenko / Igor Marchenko,Ukraine,13,10,16.5
12,Kristy Sargeant / Kris Wirtz,Canada,11,12,17.5
13,Danielle McGrath / Stephen Carr,Australia,15,13,20.5
14,Marina Khalturina / Andrei Krukov,Kazakhstan,16,14,22.0
15,Kateřina Beránková / Otto Dlabola,Czech Republic,14,15,22.0
16,Marie-Claude Savard-Gagnon / Luc Bradet,Canada,12,16,22.0
17,Sabrina Lefrançois / Nicolas Osseland,France,17,17,25.5
18,Inga Rodionova / Aleksandr Anichenko,Azerbaijan,19,18,27.5
19,Maria Krasiltseva / Alexander Chestnikh,Armenia,18,19,28.0
20,Marie Arai / Shin Amano,Japan,20,20,30.0
