Municipality / Communes,Coalition for the Citizen,Coalition for the Future,Other/Independent,Winning Party/Coalition,Voter Turnout
Arrën,Duleman Marku ( 37.74% ),Ilir Doçi ( 62.26% ),-,Coalition for the Future,69%
Bicaj,Arben Korbi ( 61.66% ),Xhemali Onuzi ( 38.34% ),-,Coalition for the Citizen,68%
Bushtricë,Kujtim Gjoka ( 45.98% ),Muharrem Alia ( 2.05% ),Shahir Sula ( LZHK ) ( 35.88% ) Flamur Gjana ( Ind . ) ( 16.10% ),Coalition for the Citizen,73%
Grykë-Çaje,Vesel Shehu ( 67.96% ),Ismet Shehu ( 11.23% ),Florin Lushi ( LZHK ) ( 4.99% ) Vexhi Shehu ( Ind . ) ( 15.81% ),Coalition for the Citizen,71%
Kalis,Ahmet Shira ( 60.32% ),Shehat Daci ( 39.68% ),-,Coalition for the Citizen,73%
Kolsh,Zenel Lleshi ( 40.85% ),-,Abedin Oruçi ( Ind . ) ( 59.15% ),Abedin Oruçi ( Ind . ),79%
Kukës,Hasan Halili ( 64.1% ),Alfred Cengu ( 35.9% ),-,Coalition for the Citizen,65%
Malzi,Bajram Çoti ( 40.54% ),Astrit Dobrushi ( 59.46% ),-,Coalition for the Future,70%
Shishtavec,Dilaman Nela ( 76.23% ),Xheladin Memishi ( 23.77% ),-,Coalition for the Citizen,57%
Shtiqën,Gëzim Shehu ( 51.11% ),Astrit Cengu ( 31.10% ),Dashnor Shehu ( AMS ) ( 17.78% ),Coalition for the Citizen,80%
Surroj,Esat Vata ( 28.99% ),-,Halil Aliaj ( Ind . ) ( 51.65% ) Shukri Oka ( Ind . ) ( 19.37% ),Halil Aliaj ( Ind . ),76%
Tërthorë,Gazmend Hallaçi ( 13.40% ),Ali Xhahu ( 32.63% ),Skënder Kovaçi ( LZHK ) ( 21.03% ) Rrahman Demaj ( Ind . ) ( 32.94% ),Rrahman Demaj ( Ind . ),77%
Topojan,Safet Myftari ( 66.17% ),Lutfi Islamaj ( 33.83% ),-,Coalition for the Citizen,59%
Ujmisht,Besim Peposhi ( 40.72% ),Ahmet Dede ( 59.28% ),-,Coalition for the Future,58%
Zapod,Dan Koloshi ( 72.70% ),Azem Mustafaj ( 27.30% ),-,Coalition for the Citizen,60%
