Pos,No,Driver,Constructor,Lap,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:18.156,
2,4,Eddie Irvine,Ferrari,1:18.263,+0.107
3,2,David Coulthard,McLaren - Mercedes,1:18.384,+0.228
4,9,Giancarlo Fisichella,Benetton - Playlife,1:18.515,+0.359
5,8,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:18.664,+0.508
6,7,Damon Hill,Jordan - Mugen-Honda,1:18.667,+0.511
7,10,Alexander Wurz,Benetton - Playlife,1:18.733,+0.577
8,16,Rubens Barrichello,Stewart - Ford,1:19.095,+0.939
9,22,Jacques Villeneuve,BAR - Supertec,1:19.127,+0.971
10,17,Johnny Herbert,Stewart - Ford,1:19.389,+1.233
11,11,Jean Alesi,Sauber - Petronas,1:19.390,+1.234
12,12,Pedro Diniz,Sauber - Petronas,1:19.782,+1.626
13,19,Jarno Trulli,Prost - Peugeot,1:19.788,+1.632
14,18,Olivier Panis,Prost - Peugeot,1:19.841,+1.685
15,5,Alessandro Zanardi,Williams - Supertec,1:19.924,+1.768
16,6,Ralf Schumacher,Williams - Supertec,1:19.945,+1.789
17,23,Ricardo Zonta,BAR - Supertec,1:20.060,+1.904
18,3,Mika Salo,Ferrari,1:20.369,+2.213
19,20,Luca Badoer,Minardi - Ford,1:20.961,+2.805
20,14,Pedro de la Rosa,Arrows,1:21.328,+3.172
