Club,Country,Number won,Season ( s ) won,Titles won
Rangers,Scotland,9,"1929-30 , 1933-34 , 1948-49 , 1963-64 , 1975-76 , 1977-78 , 1992-93 , 1998-99 , 2002-03","Scottish League , Scottish Cup , Glasgow Cup ( 1930 , 1934 ) Scottish League , Scottish Cup , Scottish League Cup ( 1949 onwards )"
Celtic,Scotland,8,"1906-07 , 1907-08 , 1966-67 , 1968-69 , 2000-01 , 2016-17 , 2017-18 , 2018-19","Scottish League , Scottish Cup , Glasgow Cup ( 1907 , 1908 ) Scottish League , Scottish Cup , Scottish League Cup ( 1967 onwards )"
Linfield,Northern Ireland,5,"1921-22 , 1961-62 , 1993-94 , 2005-06 , 2007-08","Irish League , Irish Cup , County Antrim Shield ( 1922 , 1962 ) Irish League , Irish Cup , Irish League Cup ( 1994 , 2006 , 2008 )"
Glasgow City,Scotland,5,"2008-09 , 2011-12 , 2012-13 , 2013-14 , 2014-15","Scottish Women 's Premier League , Scottish Women 's Cup , SWPL Cup"
Shamrock Rovers,Republic of Ireland,3,"1924-25 , 1931-32 , 1963-64","League of Ireland , FAI Cup , League of Ireland Shield"
Buriram United,Thailand,3,"2011 , 2013 , 2015","Thai League 1 , Thai FA Cup , Thai League Cup"
Paris Saint-Germain,France,3,"2014-15 , 2015-16 , 2017-18","Ligue 1 , Coupe de France , Coupe de la Ligue"
Valletta,Malta,2,"1996-97 , 2000-01","Maltese Premier League , Maltese Cup , Löwenbräu Cup"
Kedah,Malaysia,2,"2007 , 2008","Malaysian Super League , Malaysia Cup , Malaysian FA Cup"
The New Saints,Wales,2,"2014-15 , 2015-16","Welsh Premier League , Welsh Cup , Welsh League Cup"
Bohemians,Republic of Ireland,1,1927-28,"League of Ireland , FAI Cup , League of Ireland Shield"
Fall River Marksmen,United States,1,1930,"American Soccer League , National Challenge Cup , Lewis Cup"
Athletic Bilbao,Spain,1,1930-31,"La Liga , Copa del Rey , Biscay Championship"
Brookhattan,United States,1,1945,"American Soccer League , National Challenge Cup , Lewis Cup"
Santos,Brazil,1,1964,"Taça Brasil , Torneio Rio-São Paulo , Campeonato Paulista"
Toronto Croatia,Canada,1,1971,"NSL Cup , NSL Regular Season Champion , NSL Playoff Champion"
Levski Sofia,Bulgaria,1,1984,"Bulgarian A Professional Football Group , Bulgarian Cup , Cup of the Soviet Army"
CSKA Sofia,Bulgaria,1,1989,"Bulgarian A Professional Football Group , Bulgarian Cup , Cup of the Soviet Army"
Derry City,Northern Ireland,1,1988-89,"League of Ireland , FAI Cup , League of Ireland Cup"
South China,Hong Kong,1,1990-91,"Hong Kong First Division League , Hong Kong Senior Challenge Shield , Hong Kong FA Cup , Viceroy Cup"
