Dance,Best dancer ( s ),Best score,Worst dancer ( s ),Worst score
Cha Cha Cha,Claudia Galli,37,Willy Björkman,6
Waltz,Stefan Sauk,35,Victoria Sandell Svensson,10
Rumba,Claudia Galli,36,Rabih Jaber,7
Tango,Claudia Galli,38,Elin Kling,12
Jive,Claudia Galli,40,Willy Björkman,9
Quickstep,Mattias Andréasson,36,Willy Björkman,9
Paso Doble,Stefan Sauk,36,Molly Sandén,13
Slowfox,Stefan Sauk,38,Willy Björkman,10
Samba,Stefan Sauk,30,Marcus Birro,10
Salsa,Claudia Galli,40,Willy Björkman,26
Bugg,Mattias Andréasson,40,Willy Björkman,21
Show Dance,Mattias Andréasson,40,Claudia Galli,39
