Site,Municipality,Type,Ref
Ushuku Shell Mound 宇宿貝塚 Ushuku kaizuka,Amami,1,[ 1 ]
Yokose Kofun 横瀬古墳 Yokose kofun,Ōsaki,1,[ 2 ]
Former Shūseikan 旧集成館 附寺山炭窯関吉疎水溝 kyū-Shūseikan tsuketari Terayama sumi gama ato Sekiyoshiso suikō,Kagoshima,6,[ 3 ]
Tomb of Keian 桂菴墓 Keian no haka,Kagoshima,7,[ 4 ]
Hirota Site 広田遺跡 Hirota iseki,Minamitane,1,[ 5 ]
Kōyama Castle Site 高山城 跡 Kōyama-jō ato,Kimotsuki,2,[ 6 ]
Former Sata Medicinal Garden 佐多旧薬園 Sata kyū-yakuen,Minamiōsumi,5,[ 7 ]
Satsuma Kokubun-ji Site 薩摩国分寺 跡 Satsuma Kokubunji ato,Satsumasendai,3,[ 8 ]
Shibushi Castle Site 志布志城 跡 Shibushi-jō ato,Shibushi,2,[ 9 ]
Ibusuki Hashimuregawa Site 指宿橋牟礼川遺跡 Ibusuki Hashimuregawa iseki,Ibusuki,1,[ 10 ]
Former Kagoshima Spinning Engineer 's Residence 鹿児島紡績所技師館 ( 異人館 ) Kagoshima bōsekijo gishikan ( Ijinkan ),Kagoshima,6,[ 11 ]
Sumiyoshi Shell Mound 住吉貝塚 Sumiyoshi kaizuka,China,1,[ 12 ]
Kominato Fuwaganeku Site 小湊フワガネク遺跡 Kominatsu Fuwaganeku iseki,Amami,1,[ 13 ]
Uenohara Site 上野原遺跡 Uenohara iseki,Kirishima,1,[ 14 ]
Mount Shiroyama 城山 Shiroyama,Kagoshima,2,[ 15 ]
Kiyoshiki Castle Site 清色城 跡 Kiyoshiki-jō ato,Satsumasendai,2,[ 16 ]
Akagina Castle Site 赤木名城 跡 Akagina-jō ato,Amami,2,[ 17 ]
Ōsumi Kokubun-ji and Miyatagaoka Tile Kiln Sites 大隅国分寺 跡附宮田ヶ岡瓦窯跡 Ōsumi Kokubunji ato tsuketari Miyatagaoka kawara kama ato,"Kirishima , Aira",3,[ 18 ]
Ōkuchisuji-Shirakanezaka-Tatsumonjizaka 大口筋 白銀坂 龍門司坂 Ōkuchisuji-Shirakanezaka-Tatsumonjizaka,"Kagoshima , Aira , Kajiki",6,[ 19 ]
Chiran Castle Site 知覧城跡 Chiran-jō ato,Minamikyūshū,2,[ 20 ]
