Territory,Claimants,Notes
Abkhazia,Republic of Abkhazia Georgia,Main article : Georgian-Abkhazian conflict
Village of Aibga and surrounding area,Republic of Abkhazia Russia,
Bakassi,Cameroon Ambazonia Nigeria ( elements ),"While Nigeria transferred Bakassi to Cameroon in 2008 , elements within Nigeria have declared the territorial cession unconstitutional"
Eastern part of Bhutan,Bhutan Taiwan,
North Cyprus,Turkish Republic of Northern Cyprus Cyprus,Northern Cyprus ( a state with limited recognition ) controls and administers the northern part of the island . Republic of Cyprus claims the whole island
Macclesfield Bank,China Taiwan,
"Mainland China , Hainan , and other islands controlled by the PRC",China Taiwan,Main article : Cross-Strait relations
Moldovan-controlled area of Dubăsari district,Moldova Pridnestrovian Moldavian Republic,
A small area of Gilgit-Baltistan,Pakistan Taiwan,
Kokkina/Erenköy exclave,Turkish Republic of Northern Cyprus Cyprus,"Northern Cyprus controls and administers Kokkina , an area separated from the rest of the main land on Northern Cyprus via the land controlled by the Republic of Cyprus"
Heixiazi / Bolshoy Ussuriysky Island ( eastern half ),Russia Taiwan,"Generally held to have been resolved in October 2004 by the Complementary Agreement between the People 's Republic of China and the Russian Federation on the Eastern Section of the China-Russia Boundary , but the ROC does not recognise any border settlements entered into by the PRC"
Heixiazi / Bolshoy Ussuriysky Island ( western half ),China Taiwan,"Main article : Cross-Strait relations Remnant portion of the island formerly claimed entirely by both the PRC and ROC , now part of the wider PRC-ROC dispute"
Hong Kong,China Taiwan,"It is unclear whether the ROC actually claims Hong Kong . Former President Lee Teng-hui claimed that Hong Kong should have been returned to the ROC instead of the PRC because the ROC government had the original manuscript of the Treaty of Nanking . However , no president since Lee has made such claim . The ROC has never governed Hong Kong , and its constitution does not include Hong Kong as its territory"
Northern part of Kachin State,Myanmar Taiwan,"North part west of the Gaoligong Mountains ( 高黎貢山 ) in western Yunnan , China , and the Division of Sagaing : Jiangxinpo ( 江心坡 ) and Nankan ( 南坎 )"
106.40 square kilometres of formerly Chinese territory in Kazakhstan,Kazakhstan Taiwan,
Kosovo,Republic of Kosovo Serbia,"Kosovo is the subject of a territorial dispute between the Republic of Serbia and the self-proclaimed Republic of Kosovo . The latter declared independence on 17 February 2008 , while Serbia claims it as part of its own sovereign territory . Its independence is recognized by 89 UN member states"
Kutuzov Island,Russia Taiwan,
Part of the Ryanggang Province,North Korea Taiwan,
Part of the Rasŏn administrative division,North Korea Taiwan,
Sixty-Four Villages East of the Heilongjiang River,Russia Taiwan,
