Name,Canton ( s ) /Country,From - To,Elevation ( m ),Type
Ächerli,Obwalden / Nidwalden,Kerns OW - Dallenwil NW,1458,road
Aiguillon,Vaud,Baulmes - L'Auberson,1293,road
Agites,Vaud,Yvorne - La Lécherette,1569,road
Albis,Zurich,Langnau am Albis - Türlen,791,road
Albula,Graubünden,Filisur - La Punt,2312,road
Alpe di Neggia,Ticino,Vira - Indemini,1395,road
Balmberg,Solothurn,Welschenrohr - Günsberg,1078,road
Belchenflue,Basel-Land / Solothurn,,1099,road
Benkerjoch,Aargau,Küttigen - Oberhof,674,road
Bernina,Graubünden,Samedan - Poschiavo,2328,road
Bööler,Aargau,Unterkulm - Schöftland,611,road
Bözberg,Aargau,Brugg - Frick,1007,road
Brünig,Bern / Obwalden,Meiringen BE - Lungern OW,1008,road
Buechenegg,Zürich,Langnau am Albis - Tägerst,786,road
Challhöchi,Basel-Land,,747,road
Champex,Valais,,1470,road
Chasseral,Bern,Nods BE - Saint-Imier,1502,road
Chatzenstrick,Schwyz,Einsiedeln - Altmatt,1053,road
Chilchzimmersattel,Basel-Land,Eptingen - Langenbruck,991,road
Croix,Vaud,Bex - Les Diablerets,1778,road
