Date,Race,Competition,Rider,Country,Location
January 23,"Tour Down Under , Stage 5",UCI ProTour,Luis León Sánchez ( ESP ),Australia,Willunga
February 10,Trofeo Deiá,UCI Europe Tour,Rui Costa ( POR ),Spain,Mallorca
February 21,"Volta ao Algarve , Stage 5",UCI Europe Tour,Luis León Sánchez ( ESP ),Portugal,Portimão
April 6,"Circuit Cycliste Sarthe , Stage 1",UCI Europe Tour,Luis León Sánchez ( ESP ),France,Varades
April 9,"Circuit Cycliste Sarthe , Overall",UCI Europe Tour,Luis León Sánchez ( ESP ),France,
May 9,"Four Days of Dunkirk , Points classification",UCI Europe Tour,José Joaquín Rojas ( ESP ),France,
May 9,"Four Days of Dunkirk , Youth classification",UCI Europe Tour,Rui Costa ( POR ),France,
May 9,"Four Days of Dunkirk , Teams classification",UCI Europe Tour,,France,
June 19,"Tour de Suisse , Stage 8",UCI World Ranking,Rui Costa ( POR ),Switzerland,Liestal
July 31,Clásica de San Sebastián,UCI World Ranking,Luis León Sánchez ( ESP ),Spain,San Sebastián
September 5,"Vuelta a España , Stage 9",UCI World Ranking,David López ( ESP ),Spain,Alcoy
September 7,"Vuelta a España , Stage 10",UCI World Ranking,Imanol Erviti ( ESP ),Spain,Vilanova i la Geltrú
