Pos,No,Driver,Constructor,Lap,Gap
1,1,Michael Schumacher,Ferrari,1:19.882,-
2,10,Juan Pablo Montoya,McLaren - Mercedes,1:20.779,+0.897
3,16,Jarno Trulli,Toyota,1:20.839,+0.957
4,9,Kimi Räikkönen,McLaren - Mercedes,1:20.891,+1.009
5,17,Ralf Schumacher,Toyota,1:20.964,+1.082
6,5,Fernando Alonso,Renault,1:21.141,+1.259
7,2,Rubens Barrichello,Ferrari,1:21.158,+1.276
8,3,Jenson Button,BAR - Honda,1:21.302,+1.420
9,6,Giancarlo Fisichella,Renault,1:21.333,+1.451
10,4,Takuma Sato,BAR - Honda,1:21.787,+1.905
11,15,Christian Klien,Red Bull - Cosworth,1:21.937,+2.055
12,8,Nick Heidfeld,Williams - BMW,1:22.086,+2.204
13,14,David Coulthard,Red Bull - Cosworth,1:22.279,+2.397
14,12,Felipe Massa,Sauber - Petronas,1:22.565,+2.683
15,11,Jacques Villeneuve,Sauber - Petronas,1:22.866,+2.984
16,7,Mark Webber,Williams - BMW,1:23.495,+3.613
17,21,Christijan Albers,Minardi - Cosworth,1:24.443,+4.561
18,19,Narain Karthikeyan,Jordan - Toyota,1:25.057,+5.175
19,20,Robert Doornbos,Minardi - Cosworth,1:25.484,+5.602
20,18,Tiago Monteiro,Jordan - Toyota,No time,
