Name,Opened,Municipality,District
Ciudad Expo,"April 2 , 2009",Mairena del Aljarafe,
Cavaleri,"April 2 , 2009",Mairena del Aljarafe,
San Juan Alto,"April 2 , 2009",Mairena del Aljarafe,
San Juan Bajo,"April 2 , 2009",Mairena del Aljarafe,
Blas Infante,"April 2 , 2009",Seville,Los Remedios
Parque de los Príncipes,"April 2 , 2009",Seville,Los Remedios
Plaza de Cuba,"April 2 , 2009",Seville,Los Remedios
Puerta Jerez,"September 16 , 2009",Seville,Casco Antiguo
Prado de San Sebastián,"April 2 , 2009",Seville,Sur / Casco Antiguo
San Bernardo,"April 2 , 2009",Seville,Sur / Nervión
Nervión,"April 2 , 2009",Seville,Nervión
Gran Plaza,"April 2 , 2009",Seville,Nervión
1º de Mayo,"April 2 , 2009",Seville,Cerro-Amate
Amate,"April 2 , 2009",Seville,Cerro-Amate
La Plata,"April 2 , 2009",Seville,Cerro-Amate
Cocheras,"April 2 , 2009",Seville,Cerro-Amate
Pablo de Olavide,"April 2 , 2009",Seville,Sur
Condequinto,"April 2 , 2009",Dos Hermanas,Montequinto
Montequinto,"November 23 , 2009",Dos Hermanas,Montequinto
Europa,"November 23 , 2009",Dos Hermanas,Montequinto
