Call letters,Channel,Network ( s ),City and state,Meaning or notes
KAAH-TV,27 PSIP 26,TBN,"Honolulu , Hawaii",K A ll A merican TV H onolulu
KAAL,36 PSIP 6,6.1 ABC 33.2 This TV,"Austin , Minnesota",A ustin- A lbert L ea
KAAS-TV,17 PSIP 18,Fox,"Salina , Kansas",Satellite of KSAS-TV Wichita
KABB,30 PSIP 29,Fox,"San Antonio , Texas",A lamo BB roadcasting
KABC-TV,7 PSIP 7,7.1 ABC 7.2ABC7+ ( LWN ),"Los Angeles , California",A merican B roadcasting C ompany
KACV-TV,9 PSIP/cable 2,PBS,"Amarillo , Texas",A marillo C ollege V oice
KADN-TV,16 PSIP 15,15.1 Fox 46.2 KLAF-LD,"Lafayette , Louisiana",A cadi AN
KAEF-TV,22 PSIP 23,ABC,"Arcata , California",A rcata- E ureka - F ortuna . Semisatellite of KRCR Redding
KAET,8 PSIP 8,PBS,"Phoenix , Arizona",A rizona E ducational T elevision
KAFT,9 PSIP 13,PBS,"Fayetteville , Arkansas",A rkansas F ayetteville T elevision
KAID,21 PSIP/cable 4,PBS,"Boise , Idaho","A da County , Id aho"
KAII-TV,7 PSIP 7,Fox,"Wailuku , Hawaii",Haw AII
KAIL,7 PSIP 53,7.1 MyNetworkTV 7.2 Cozi TV,"Fresno , California",Also branded by its cable channel assignment on 13
KAIT,8 PSIP 8,ABC,"Jonesboro , Arkansas","Sounds like eight ( AIT : Arkansas Independent Television , originally an independent before joining ABC in 1965 )"
KAJB,36 PSIP 54,Telefutura,"Calipatria , California",
KAKE,10 PSIP 10,10.1 ABC 10.2 MeTV,"Wichita , Kansas",Sounds like cake
KAKM,8 PSIP 7,PBS,"Anchorage , Alaska",A las k a M
KAKW-DT,13 PSIP 62,Univision,"Killeen , Texas",A ustin/ K illeen/ W aco
KALB-TV,35 PSIP 5,5.1 NBC 35.2 CBS,"Alexandria , Louisiana",K now Al exandria B etter ; Digital subchannel 35.2 branded as cable channel 2 and under call sign NALB-TV
KALO,38 PSIP 38,religious,"Honolulu , Hawaii","Named after the kalo ( taro ) plant , traditionally a staple of Hawaiian life and nourishment"
