Year,Title,Role
1988,Halloween 4 : The Return of Michael Myers,Jamie Lloyd
1989,Halloween 5 : The Revenge of Michael Myers,Jamie Lloyd
1990,Marked for Death,Tracey
1991,Do n't Tell Mom the Babysitter 's Dead,Melissa Crandell
1991,City Slickers,Classroom student
1991,The Last Boy Scout,Darian Hallenbeck
1993,Free Willy,Gwenie
1995,Halloween : The Curse of Michael Myers,Young Jamie Lloyd
1996,Daylight,Ashley Crighton
1996,Shattered Image,Susan
1996,Back to Back,Chelsea Malone
1998,Dizzyland,Lulu
1998,Urban Legend,Tosh Guaneri
1999,Goosed,Young Charlene Silver
2000,Poor White Trash,Suzi
2001,Killer Bud,Barbie
2002,The Wild Thornberrys Movie,Debbie Thornberry
2003,Rugrats Go Wild,Debbie Thornberry
2004,Debating Robert Lee,Liz Bronner
2004,Em & Me,Emily Davenport
