Title,Russian title,Director,Cast,Genre
Arie,Арье,Roman Kachanov,"Jerzy Stuhr , Juozas Budraitis , Angelina Chernova",Drama
Countdown,Личный номер,Yevgeny Lavrentyev,"Aleksey Makarov , Louise Lombard",Action
Dad or Papa,Папа,Vladimir Mashkov,"Vladimir Mashkov , Egor Beroev",War Drama
Goddess : How I fell in Love,Богиня : Как я полюбила,Renata Litvinova,"Renata Litvinova , Maksim Sukhanov",Drama
Harvest Time,Время жатвы,Marina Razbezhkina,Lyudmila Motornaya,Drama
Mars,Марс,Anna Melikian,Gosha Kutsenko,Drama
Night Watch,Ночной дозор,Timur Bekmambetov,"Konstantin Khabensky , Vladimir Menshov , Valeri Zolotukhin",Fantasy
Our Own,Свои,Dmitri Meskhiyev,"Konstantin Khabenskiy , Sergey Garmash , Bohdan Stupka",Drama
The Recruiter,Шиза,Gulshat Omarova,"Sergei Bodrov , Gulshat Omarova",Crime
Star Wars : Storm in the Glass,Звёздные войны : Буря в стакане,,Dmitry Puchkov,Parody
The Tuner,Настройщик,Kira Muratova,"Alla Demidova , Renata Litvinova , Nina Ruslanova",Drama
You I Love,Я люблю тебя,"Olga Stolpovskaja , Dmitry Troitsky","Damir Badmaev , Lyubov Tolkalina",Comedy
