Team,Manager,Coach,Captain,Kit manufacturer,Shirt sponsor
ATM,B. Sathianathan,B. Sathianathan,Hairuddin Omar,Umbro,ATM
Betaria,S. Sivashanmugam,Azuan Zain,,Kappa,
Harimau Muda B,Datuk Astaman Abdul Aziz,Ismail Ibrahim,Muhammad Akram Mahinan,Nike,
Johor,Fandi Ahmad,K. Sukumaran,Nazrulerwan Makmor,Lotto,Kulim ( M ) Berhad
MB Johor Bahru,Wan Azmi Wan Ahmad,Mohamed Khairudin Abdul Rahman,Dalibor Dragic,,
MP Muar,Mohd Nazrun Mahmud,Abdul Nasir Yusof,,Kronos,Interpacific
Pahang,Che Nasir Salleh,Dollah Salleh,Jalaluddin Jaafar,Lotto,Pahang
Perlis,Azahar Ahmad,Robert Scully,,Kubba,kubbaonline.com
PDRM,Zulkifli Mohamad,R. Nallathamby,Mohd Afif Amiruddin,Line7,Al Jabbar
Pos Malaysia,Shaari Shazali,G. Torairaju,Azmeer Yusof,Joma,Pos Malaysia
Sime Darby,Tengku Datuk Seri Ahmad Shah,Ismail Zakaria,Mohd Nor Ismail,Kappa,Sime Darby
USM,Mohd Azizuddin Mohd Shariff,S. Veloo,Shariman Che Omar,Joma,
