Year,Champion,Score,Opponent,Venue,Tournament MVP
1987,Santa Clara,77-65,Pepperdine,"War Memorial Gymnasium ( San Francisco , California )","Jens Gordon , Santa Clara"
1988,Loyola Marymount,104-96,Santa Clara,"Toso Pavilion ( Santa Clara , California )","Hank Gathers , Loyola Marymount"
1989,Loyola Marymount,75-70 ( OT ),Santa Clara,"War Memorial Gymnasium ( San Francisco , California )","Hank Gathers , Loyola Marymount"
1990,None,None,None,"Gersten Pavilion , ( Los Angeles , California )",None
1991,Pepperdine,71-68 ( OT ),Saint Mary 's,"Toso Pavilion ( Santa Clara , California )","Geoff Lear , Pepperdine"
1992,Pepperdine,73-70,Gonzaga,"Chiles Center ( Portland , Oregon )","Doug Christie , Pepperdine"
1993,Santa Clara,73-63,Pepperdine,"War Memorial Gymnasium ( San Francisco , California )","Steve Nash , Santa Clara"
1994,Pepperdine,56-53,San Diego,"Toso Pavilion ( Santa Clara , California )","Dana Jones , Pepperdine"
1995,Gonzaga,80-67,Portland,"Toso Pavilion ( Santa Clara , California )","John Rillie , Gonzaga"
1996,Portland,76-68,Gonzaga,"Toso Pavilion ( Santa Clara , California )","Kweemada King , Portland"
1997,Saint Mary 's,66-59,San Francisco,"Gersten Pavilion , ( Los Angeles , California )","Brad Millard , Saint Mary 's"
1998,San Francisco,80-67,Gonzaga,"Toso Pavilion ( Santa Clara , California )","Hakeem Ward , San Francisco"
1999,Gonzaga,91-62,Santa Clara,"Toso Pavilion ( Santa Clara , California )","Matt Santangelo , Gonzaga"
2000,Gonzaga,69-65 ( OT ),Pepperdine,"Toso Pavilion ( Santa Clara , California )","Casey Calvary , Gonzaga"
2001,Gonzaga,80-77,Santa Clara,"Jenny Craig Pavilion ( San Diego , California )","Dan Dickau , Gonzaga"
2002,Gonzaga,96-90,Pepperdine,"Jenny Craig Pavilion ( San Diego , California )","Dan Dickau , Gonzaga"
2003,San Diego,72-63,Gonzaga,"Jenny Craig Pavilion ( San Diego , California )","Jason Keep , San Diego"
2004,Gonzaga,84-71,Saint Mary 's,"Leavey Center ( Santa Clara , California )","Ronny Turiaf , Gonzaga"
2005,Gonzaga,80-67,Saint Mary 's,"Leavey Center ( Santa Clara , California )","Adam Morrison , Gonzaga"
2006,Gonzaga,68-67,Loyola Marymount,"McCarthey Athletic Center ( Spokane , Washington )","Adam Morrison , Gonzaga"
