Player,Year of birth,Playing Position,National team,Years Played for National Team
Miguel Rebosio,1976,Centre back,Peru,1997-2005
Claudio Pizarro,1978,Striker,Peru,1999-present
Carlos Lobatón,1980,Central Midfielder,Peru,2005-present
Rainer Torres,1980,Central Midfielder,Peru,2005-present
Juan Carlos Mariño,1982,Attacking Midfielder,Peru,2006-present
Luis Ramírez,1984,Attacking Midfielder,Peru,2005-present
Junior Viza,1985,Attacking Midfielder,Peru,2006
Junior Ross,1986,Winger,Peru,2005-present
Daniel Chávez,1988,Striker,Peru,2008-present
Carlos Zambrano,1989,Centre back,Peru,2008-present
Reimond Manco,1990,Attacking Midfielder,Peru,2008-present
Yoshimar Yotún,1990,Full back,Peru,2011-present
