Name,Country,City,Rooms,Floors
First World Hotel,Malaysia,Genting Highlands,"7,351",24 ( Tower 1 ) 28 ( Tower 2 )
The Venetian Resort Las Vegas ( The Venetian Las Vegas and The Palazzo ),United States,Las Vegas,"7,092",53
MGM Grand Las Vegas and The Signature,United States,Las Vegas,"6,852",30 ( MGM Grand ) 38 ( Signature )
CityCenter,United States,Las Vegas,"6,790",61 ( Aria ) 57 ( Vdara ) 56 ( Waldorf Astoria Las Vegas ) 37 ( Veer Towers )
Sands Cotai Central,Macau,Macau,"6,246",
Tilal Al Naseem,Saudi Arabia,Mecca,"5,383",
Izmailovo Hotel,Russia,Moscow,"5,000",30
Wynn Las Vegas and Encore Las Vegas,United States,Las Vegas,"4,750",45/48 ( 2 towers )
Barkhatnie sezony,Russia,Sochi,"4,688",5 ( 34 buildings )
"Mandalay Bay , Delano and Four Seasons",United States,Las Vegas,"4,426",43 ( Mandalay Bay tower ) 47 ( Delano tower )
Luxor Las Vegas,United States,Las Vegas,"4,407",22/22/30 ( 3 buildings )
Ambassador City Jomtien,Thailand,Pattaya,"4,219",
Excalibur Hotel and Casino,United States,Las Vegas,"3,981",28
Caesars Palace,United States,Las Vegas,"3,970",29/26/22/14/14 ( 6 towers )
"Sheraton Grand Macao Hotel , Cotai Central",Macau,Macau,"3,968",41 ( Sky tower ) 40 ( Earth tower )
Bellagio,United States,Las Vegas,"3,933",36
Hilton Hawaiian Village,United States,Honolulu,"3,804",
Circus Circus Las Vegas,United States,Las Vegas,"3,773",35/29/15 floors ( 3 towers )
Shinagawa Prince Hotel,Japan,Tokyo,"3,680",
Flamingo Las Vegas,United States,Las Vegas,"3,460",28
