Name,Nationality,Winner,Runner-up
John Higgins,Scotland,5,2
Ronnie O'Sullivan,England,4,1
Stephen Hendry,Scotland,3,2
Steve Davis,England,2,1
Ken Doherty,Ireland,2,1
Paul Hunter,England,2,1
Mark Williams,Wales,2,1
Neil Robertson,Australia,2,1
Stuart Bingham,England,1,2
Ali Carter,England,1,1
Ding Junhui,China,1,1
Stephen Lee,England,1,1
Stephen Maguire,Scotland,1,1
Mark Selby,England,1,1
Alan McManus,Scotland,0,2
Barry Hawkins,England,0,1
Andrew Higginson,England,0,1
Mark King,England,0,1
Darren Morgan,Wales,0,1
Shaun Murphy,England,0,1
