Year,Title,Role
2001,My Sister 's Wedding,Quinn
2004,The Alamo,William B. Travis
2004,The Phantom of the Opera,Viscount Raoul de Chagny
2005,Hard Candy,Jeff Kohlver
2006,Little Children,Brad Adamson
2006,Running with Scissors,Michael Shephard
2007,Purple Violets,Brian Callahan
2007,Evening,Harris Arden
2007,Brothers Three : An American Gothic,Peter
2008,Life in Flight,Will Sargent
2008,Lakeview Terrace,Chris Mattson
2008,Passengers,Eric Clark
2009,Watchmen,Dan Dreiberg / Nite Owl II
2010,Barry Munday,Barry Munday
2010,The A-Team,Agent Lynch
2010,The Switch,Roland Nilson
2010,Insidious,Josh Lambert
2010,Morning Glory,Adam Bennett
2011,The Ledge,Joe Harris
2011,Young Adult,Buddy Slade
