Name,Position,School,Number,Official,Other
Jack Scarbath,Quarterback,Maryland,8/8,"AAB , AFCA , AP , FWAA , INS , NEA , SN , UP",Look
Johnny Lattner,Halfback,Notre Dame,8/8,"AAB , AFCA , AP , FWAA , INS , NEA , SN , UP",WC
Billy Vessels,Halfback,Oklahoma,7/8,"AAB , AP , FWAA , INS , NEA , SN , UP",WC
John Michels,Guard,Tennessee,6/8,"AAB , AP , FWAA , NEA , SN , UP",WC
Frank McPhee,End,Princeton,5/8,"AAB , INS , NEA , SN , UP",WC
Dick Modzelewski,Tackle,Maryland,5/8,"AFCA , AAB , NEA , SN , UP",WC
Donn Moomaw,Center,UCLA,5/8,"AFCA , AP , NEA , SN , UP",WC
Bernie Flowers,End,Purdue,5/8,"AAB , FWAA , NEA , SN , UP",WC
Elmer Willhoite,Guard,USC,5/8,"AFCA , FWAA INS , NEA , UP",WC
Tom Catlin,Center,Oklahoma,5/8,"AAB , FWAA , INS , NEA , SN",--
Hal Miller,Tackle,Georgia Tech,4/8,"FWAA , NEA , SN , UP",WC
Jim Sears,Halfback,USC,3/8,"AP , INS , NEA",WC
