Goals,Player,Team,Edition in which scored
2,José Carlos,Sevilla FC,"2009 , 2010"
2,Rodri Ríos,Sevilla FC,2011
2,Frédéric Kanouté,Sevilla FC,2011
2,Diego Perotti,Sevilla FC,"2009 , 2013"
2,Carlos Tevez,Boca Juniors,2016
1,Luís Fabiano,Sevilla FC,2008
1,Renato,Sevilla FC,2008
1,Míchel,Xerez,2009
1,Carlos Calvo,Granada,2010
1,Manu del Moral,Sevilla FC,2011
1,Álvaro Negredo,Sevilla FC,2012
1,Piotr Trochowski,Sevilla FC,2012
1,Christian,Almería,2013
1,Denis Suárez,Sevilla FC,2014
1,Carlos Bacca,Sevilla FC,2014
1,Darío Benedetto,Boca Juniors,2016
1,Cristian Pavón,Boca Juniors,2016
1,Steven Nzonzi,Sevilla FC,2016
1,Timothée Kolodziejczak,Sevilla FC,2016
1,Luciano Vietto,Sevilla FC,2016
