City of license/Market,Station,Channel TV ( DT ),Year of affiliation,Ownership
"Aberdeen , South Dakota",KABY-TV,9 ( 9 ),1983,Gray Television
"Ada , OK - Sherman , TX",KTEN-DT3,10.3 ( 26.3 ),2010,Lockwood Broadcast Group
"Albany , Georgia",WALB-DT2,10.2 ( 10.2 ),2011,Gray Television
"Albany - Schenectady - Troy , NY",WTEN,10 ( 24 ),1977,Nexstar Media Group
Albuquerque - Santa Fe,KOAT-TV,7 ( 7 ),1953,Hearst Television
"Alexandria , Louisiana",KLAX-TV,31 ( 31 ),1985,Northwest Broadcasting
"Alexandria , Minnesota",KSAX,42 ( 24 ),1987,Hubbard Broadcasting
"Alpena , Michigan",WBKB-DT3,11.3 ( 11.3 ),2013,Stephan Marks
"Altoona - Johnstown , PA",WATM-TV,23 ( 24 ),1988,Palm Television ( managed by Horseshoe Curve Communications )
"Amarillo , Texas",KVII-TV,7 ( 7 ),1957,Sinclair Broadcast Group
"Ames - Des Moines , IA",WOI-TV,5 ( 5 ),1955,Tegna
"Anchorage , Alaska",KYUR,13 ( 12 ),1971,"Vision Alaska , LLC"
"Arcata - Eureka , CA",KAEF,23 ( 22 ),1989,Sinclair Broadcast Group
Asheville - Greenville - Spartanburg,WLOS,13 ( 13 ),1954,Sinclair Broadcast Group
Atlanta,WSB-TV,2 ( 32 ),1980,Cox Media Group
"Augusta , Georgia",WJBF,6 ( 28 ),1974,Nexstar Media Group
"Austin - Rochester , MN",KAAL,6 ( 36 ),1954,Hubbard Broadcasting
"Austin , Texas",KVUE,24 ( 33 ),1971,Tegna
"Bakersfield , California",KERO-TV,23 ( 10 ),1996,E. W. Scripps Company
Baltimore,WMAR-TV,2 ( 38 ),1995,E. W. Scripps Company
