Year,Winner ( s ),HR,Team,Runner ( s ) -up,2nd HR
1901,Nap Lajoie,14,Philadelphia Athletics,Buck Freeman,12
1902,Socks Seybold,16,Philadelphia Athletics,Charlie Hickman Bill Bradley Buck Freeman,11
1903,Buck Freeman,13,Boston Americans,Charlie Hickman,12
1904,Harry Davis,10,Philadelphia Athletics,Danny Murphy Buck Freeman,7
1905,Harry Davis,8,Philadelphia Athletics,George Stone,7
1906,Harry Davis,12,Philadelphia Athletics,Charlie Hickman,9
1907,Harry Davis,8,Philadelphia Athletics,Socks Seybold Danny Hoffman Ty Cobb,5
1908,Sam Crawford,7,Detroit Tigers,Bill Hinchman,6
1909,Ty Cobb,9,Detroit Tigers,Tris Speaker,7
1910,Jake Stahl,10,Boston Red Sox,Ty Cobb Duffy Lewis,8
1911,Frank Baker,11,Philadelphia Athletics,Tris Speaker Ty Cobb,8
1912,Frank Baker Tris Speaker,10,Philadelphia Athletics Boston Red Sox,Ty Cobb,7
1913,Frank Baker,12,Philadelphia Athletics,Sam Crawford,9
1914,Frank Baker,9,Philadelphia Athletics,Sam Crawford,8
1915,Braggo Roth,7,Chicago White Sox Cleveland Indians,Rube Oldring,6
1916,Wally Pipp,12,New York Yankees,Frank Baker,10
1917,Wally Pipp,9,New York Yankees,Bobby Veach,8
1918,Babe Ruth Tilly Walker,11,Boston Red Sox Philadelphia Athletics,Frank Baker George Burns,6
1919,Babe Ruth,29,Boston Red Sox,Tilly Walker Frank Baker George Sisler,10
1920,Babe Ruth,54,New York Yankees,George Sisler,19
