Name,No . Specimens,Abbr,Location,Website
New York Botanical Garden,"7,800,000",NY,"United States ; The Bronx , New York City , New York",[ 94 ]
Missouri Botanical Garden,"6,600,000",MO,"United States ; St. Louis , Missouri",[ 95 ]
Harvard University Herbaria,"5,005,000","A , AMES , ECON , FH , GH , NEBC","United States ; Cambridge , Massachusetts",[ 96 ]
"United States National Herbarium , Smithsonian Institution","5,000,000",US,"United States ; Washington , D.C",[ 97 ]
Field Museum,"2,700,000",F,"United States ; Chicago , Illinois",[ 98 ]
"University and Jepson Herbaria , University of California , Berkeley","2,200,000",UC/JEPS,"United States ; Berkeley , California",[ 99 ]
"California Academy of Sciences , Herbarium","2,000,000",CAS/DS,"United States ; San Francisco , California",[ 100 ]
University of Michigan Herbarium,"1,750,000",MICH,"United States ; Ann Arbor , Michigan",[ 101 ]
Academy of Natural Sciences,"1,430,000",PH,"United States ; Philadelphia , Pennsylvania",[ 102 ]
"Agriculture and Agri-Food Canada , Vascular Plant Herbarium","1,335,000","DAO , DAOM","Canada ; Ottawa , Ontario",
Wisconsin State Herbarium ( @ University of Wisconsin-Madison,"1,200,750",WIS,"United States ; Madison , Wisconsin",[ 103 ]
Universidad Nacional Autónoma de México,"1,120,000",MEXU,Mexico ; Mexico City,[ 104 ]
Rancho Santa Ana Botanic Garden,"1,100,000",RSA/POM,"United States ; Claremont , California",[ 105 ]
University of Texas at Austin,"1,006,000",TEX,"United States ; Austin , Texas",[ 106 ]
Botanical Research Institute of Texas,"1,001,000",BRIT-SMU-VDB,"United States ; Fort Worth , Texas",[ 107 ]
"Instituto Politécnico Nacional , Mexico","950,000",ENCB,Mexico ; Mexico City,[ 108 ]
L.H . Bailey Hortorium Herbarium,"860,000",BH,"United States ; Ithaca , New York",[ 109 ]
Royal Ontario Museum,"860,000","TRT , TRTC","Canada ; Toronto , Ontario",
"Herbier Marie-Victorin , Université de Montréal","850,000",MT,"Canada ; Montreal , Quebec",[ 110 ]
"National Herbarium of Canada , Canadian Museum of Nature","838,000","CAN , CANM","Canada ; Ottawa , Ontario",[ 111 ]
