Rank,Player,Club ( s ),Years,Apps
1,Thibaut Privat,"Nîmes , Béziers , Clermont , Montpellier , Lyon",1998-2017,387
2,Rodrigo Capó Ortega,Castres,2002-,345
3,Florian Fritz,"Bourgoin-Jallieu , Toulouse",2002-2018,322
4,Aurélien Rougerie,Clermont,1999-2018,321
5,Yannick Nyanga,"Béziers , Toulouse , Racing 92",2002-2018,315
6,Grégory Lamboley,"Toulouse , La Rochelle",2001-2018,309
7,Jean-Baptiste Poux,"Narbonne , Toulouse , Bordeaux Bègles",2001-2018,303
8,Julien Pierre,"Bourgoin-Jallieu , Clermont , Pau",2003-2018,294
9,Julien Arias,"Colomiers , Stade Français",2001-,288
10,Julien Peyrelongue,Biarritz,2001-2014,277
