School,Sport ( s ),Former Conference,New Conference,Year
Akron Zips,Women 's lacrosse,ASUN,MAC,2020
Bellarmine Knights,Full membership,GLVC ( Division II ),ASUN,2020
Bellarmine Knights,"Field hockey , wrestling",GLVC ( Division II ),Division I independent,2020
Bellarmine Knights,Men 's and women 's swimming & diving,GLVC ( Division II ),CCSA,2020
Benedict Tigers,Men 's volleyball,No team,SIAC,2020
Central Michigan Chippewas,Women 's lacrosse,SoCon,MAC,2020
Central State Marauders,Men 's volleyball,No team,SIAC,2020
CSU Bakersfield Roadrunners,Full membership,WAC,Big West,2020
Detroit Mercy Titans,Women 's lacrosse,SoCon,MAC,2020
Dixie State Trailblazers,Football,RMAC ( Division II ),Division I FCS independent,2020
Dixie State Trailblazers,Full membership,RMAC ( Division II ),WAC,2020
Fort Valley State Wildcats,Men 's volleyball,No team,SIAC,2020
Howard Bison,Men 's golf,No team,MEAC,2020
Howard Bison,Women 's golf,No team,TBD,2020
Jacksonville Dolphins,Football,Pioneer,Dropped football,2020
Kansas City Roos,Full membership,WAC,Summit,2020
Kent State Golden Flashes,Women 's lacrosse,ASUN,MAC,2020
Kentucky State Thorobreds,Men 's volleyball,No team,SIAC,2020
Morehouse Maroon Tigers,Men 's volleyball,No team,SIAC,2020
North Dakota Fighting Hawks,Football,Division I FCS independent,MVFC,2020
