Year,Performing artist ( s ),Nationality,Album
1970,Simon and Garfunkel,United States,Bridge over Troubled Water
1971,Various Artists,-,Jesus Christ Superstar
1972,Neil Young,Canada,Harvest
1973,War,United States,The World Is a Ghetto
1974,Elton John,United Kingdom,Goodbye Yellow Brick Road
1975,Elton John,United Kingdom,Elton John 's Greatest Hits
1976,Peter Frampton,UK/USA,Frampton Comes Alive
1977,Fleetwood Mac,UK/USA,Rumours
1978,Soundtrack/ Bee Gees,-,Saturday Night Fever
1979,Billy Joel,United States,52nd Street
