Artist,Title song,Episode,Year,TV station
Can,Vitamin C,Dead Pigeon on Beethoven Street,1973,WDR
Tangerine Dream,Das Mädchen auf der Treppe,Das Mädchen auf der Treppe [ de ],1982,WDR
Tangerine Dream,Daydream - Moorland,Miriam [ de ],1983,WDR
Warning,Why Can The Bodies Fly,Peggy hat Angst,1983,SWF
Jil Anderson,"Without You ( Baby , Baby )",Haie vor Helgoland,1984,NDR
Mark Spiro,Winds Of Change,Das Haus im Wald [ de ],1985,WDR
Patricia Simpson,Dreams In The City,Nachtstreife,1985,ORF
Die Toten Hosen,Verschwende deine Zeit,Voll auf Haß,1987,NDR
Sandra,Stop For A Minute,Salü Palu,1988,SR
Roger Chapman,Slap Bang in the Middle,Einzelhaft [ de ],1988,WDR
Bonnie Tyler,Against The Wind,Der Fall Schimanski [ de ],1991,WDR
Wolf Maahn,Cool,Der Mörder und der Prinz,1992,WDR
Markus Küpper,Sie hat Schluß gemacht,Ein ehrenwertes Haus,1994,MDR
Ben Becker,Alter Mann,Falsches Alibi,1995,MDR
