Year,Film,Cast,Direction
1980,Pudhiya Thoranangal,Sarath Babu,M. Karnan
1980,Veera Penn,Jaishankar,
1981,Enga Ooru Kannagi,"Jeeva , Major Sundarrajan , Srikanth",K. Balachander
1981,Amara Kaaviyam,Sivaji Ganesan,Amirthan
1981,Thillu Mullu,Rajinikanth,K. Balachander
1981,Garjanai,Rajinikanth,C. V. Rajendran
1981,Sathyam Sundaram,Sivaji Ganesan,K. S Rao
1981,Raja Paarvai,Kamal Hassan,Singeetam Srinivasa Rao
1981,Tik Tik Tik,"Kamal Haasan , Radha , Nisha Noor , Swapna",Bharathiraja
1981,Ellam Inba Mayyam,Kamal Hassan,G. N. Rangarajan
1981,Panimalar,"Raveendran , Pratap K. Pothen , Gandhimathi",Hemachander
1982,Neethi Devan Mayakkam,Kamal Haasan,
1982,Kavithai Malar,,S.Devarajan
1983,Sattam,"Kamal Haasan , Sarath Babu",K. Vijayan
1983,Sattathukku Oru Saval,Suman,M. Karnan
1983,Chandi Samundi,,K.S.Giri
1984,Thambikku Entha Ooru,"Rajinikanth , Sulakshana , Sathyaraj",Rajasekar
1984,Niraparaathi,"Mohan , Silk Smitha",K. Vijayan
1985,Kaakki Sattai,Kamal Haasan,
1985,Jhansi Rani,Sarath Babu,M. Karnan
