#,Song,Artist,Country of Origin
1,Wish You Well,Bernard Fanning,Australia
2,Catch My Disease,Ben Lee,Australia
3,Feel Good Inc,Gorillaz featuring De La Soul,United Kingdom and United States
4,Best of You,Foo Fighters,United States
5,DARE,Gorillaz featuring Shaun Ryder,United Kingdom
6,Mind 's Eye,Wolfmother,Australia
7,My Doorbell,The White Stripes,United States
8,O Yeah,End of Fashion,Australia
9,Joker & the Thief,Wolfmother,Australia
10,Do You Want To,Franz Ferdinand,United Kingdom
11,"Figjam ( Fuck I 'm Good , Just Ask Me )",Butterfingers,Australia
12,Computer Camp Love,Datarock,Norway
13,Gold Digger,Kanye West featuring Jamie Foxx,United States
14,Songbird,Bernard Fanning,Australia
15,Flame Trees,Sarah Blasko,Australia
16,Apple Tree,Wolfmother,Australia
17,Blue Orchid,The White Stripes,United States
18,I Was Only 19,The Herd,Australia
19,Middle of the Hill,Josh Pyke,Australia
20,DOA,Foo Fighters,United States
