Streak,Team,NBA Finals appearance streak,NBA championships won during streak
10 seasons,Boston Celtics,1957 - 1966,"9 ( 1957 , 1959-1966 )"
5 seasons,Golden State Warriors,2015 - 2019,"3 ( 2015 , 2017 , 2018 )"
4 seasons,Los Angeles Lakers,1982 - 1985,"2 ( 1982 , 1985 )"
4 seasons,Boston Celtics,1984 - 1987,"2 ( 1984 , 1986 )"
4 seasons,Miami Heat,2011 - 2014,"2 ( 2012 , 2013 )"
4 seasons,Cleveland Cavaliers,2015 - 2018,1 ( 2016 )
3 seasons,New York Knicks,1951 - 1953,-
3 seasons,Minneapolis Lakers,1952 - 1954,3 ( 1952-1954 )
3 seasons,Los Angeles Lakers,1968 - 1970,-
3 seasons,Los Angeles Lakers,1987 - 1989,"2 ( 1987 , 1988 )"
3 seasons,Detroit Pistons,1988 - 1990,"2 ( 1989 , 1990 )"
3 seasons,Chicago Bulls,1991 - 1993,3 ( 1991-1993 )
3 seasons,Chicago Bulls,1996 - 1998,3 ( 1996-1998 )
3 seasons,Los Angeles Lakers,2000 - 2002,3 ( 2000-2002 )
3 seasons,Los Angeles Lakers,2008 - 2010,"2 ( 2009 , 2010 )"
2 seasons,Philadelphia Warriors,1947 - 1948,1 ( 1947 )
2 seasons,Minneapolis Lakers,1949 - 1950,"2 ( 1949 , 1950 )"
2 seasons,Syracuse Nationals,1954 - 1955,1 ( 1955 )
2 seasons,Fort Wayne Pistons,1955 - 1956,1 ( 1956 )
2 seasons,St. Louis Hawks,1957 - 1958,1 ( 1958 )
