Title,Director,Cast,Genre
Abasheshe ( Short ),Dineshranjan Das,"Pramathesh Barua , Molina Debi",Family film
Basabdatta,Satish Dasgupta,"Dhiraj Bhattacharya , Kanan Devi",Family film
Bhagya Chakra,Nitin Bose,"Pahari Sanyal , Indu Mukhopadhyay",Family film
Bidrohi,Dhirendranath Gangopadhyay,"Ahindra Choudhury , Anupam Ghatak",Family film
Bidyasundar,Priyanath Gangopadhyay,"Ranibala , Lalit Mitra",Family film
Biraha,Tinkari Chakraborty,"Tinkari Chakraborty , Ranibala",Family film
Devdas,Pramathesh Barua,"K. L. Saigal , Pramathesh Barua",Family film
Debdasi,Prafulla Ghosh,"Ahindra Choudhury , Indu Mukhopadhyay",Family film
Dikdari ( Short ),Jyotish Mukhopadhyay,"Ranjit Roy , Tulsi Lahiri",Family film
Harishchandra,Prafulla Ghosh,"Bhanu Ray , Bhaskar Deb",Family film
Kanthahar,Jyotish Bandyopadhyay,"Ahindra Choudhury , Jahar Gangopadhyay",Family film
Khasdakhal,Rameshchandra Dutta,"Indu Mukhopadhyay , Renuka Ray",Family film
Manmoyee Girl 's School,Jyotish Bandyopadhyay,"Jahar Gangopadhyay , Tulsi Chakraborty",Family film
Mantrashakti,Satu Sen,"Jahar Gangopadhyay , Manoranjan Bhattacharya",Family film
Monikanchan Part-II ( Short ),Tulsi Lahiri,"Ranibala , Sishubala",Family film
Nari Pragati ( Short ),Tulsi Lahiri,,Family film
Patalpuri,Priyanath Gangopadhyay,"Jiban Gangopadhyay , Tinkari Chakraborty",Family film
Payer Dhulo,Jyotish Mukhopadhyay,"Jahar Gangopadhyay , Joynarayan Mukhopadhyay",Family film
Phantom Of Calcutta,Anandamohan Ray,"Santosh Sinha , Anandamohan Ray",Family film
Prafulla,Tinkari Chakraborty,"Ahindra Choudhury , Jahar Gangopadhyay",Family film
