NM #,Monument name,Description,Townland,Location
520,Athlone Castle,Castle,Athlone,53°25′23″N 7°56′34″W / 53.423161°N 7.942875°W / 53.423161 ; -7.942875
481,Delvin Castle,Castle,Delvin,53°36′40″N 7°05′37″W / 53.611222°N 7.093569°W / 53.611222 ; -7.093569
560,Dunnamona,Motte,Dunnamona,53°29′58″N 7°47′01″W / 53.499541°N 7.783672°W / 53.499541 ; -7.783672
610,Mortimer 's Castle,Castle,Faughalstown,53°38′55″N 7°20′26″W / 53.648720°N 7.340677°W / 53.648720 ; -7.340677
220,Fore town gates,Town gates,Fore,53°40′45″N 7°13′32″W / 53.679206°N 7.225675°W / 53.679206 ; -7.225675
215,Fore Abbey,Abbey ( Benedictine ) & hermitage,Fore,53°41′02″N 7°13′38″W / 53.683939°N 7.227133°W / 53.683939 ; -7.227133
265,Taghmon Church,Church,Glebe,53°36′03″N 7°15′59″W / 53.600889°N 7.266459°W / 53.600889 ; -7.266459
213,Inchbofin,Early Medieval Ecclesiastical Site,Inchbofin,53°32′32″N 7°54′59″W / 53.542231°N 7.916358°W / 53.542231 ; -7.916358
155,"Ushnagh Hill , Catstone","Ringfort , Barrow & Stone",Ushnagh Hill,53°29′18″N 7°33′44″W / 53.488356°N 7.562087°W / 53.488356 ; -7.562087
624,Portlick Motte,Motte,Portlick,53°29′28″N 7°54′38″E / 53.491193°N 7.910627°E / 53.491193 ; 7.910627
572,Raharney Ringfort,Ringfort,Raharney,53°31′03″N 7°05′33″W / 53.517607°N 7.092519°W / 53.517607 ; -7.092519
223,Bealin High Cross,High Cross,Twyford,53°26′07″N 7°50′42″W / 53.435149°N 7.844919°W / 53.435149 ; -7.844919
606,Wattstown Barrows,Two Barrows ( tumuli ),Wattstown,53°34′32″N 7°25′53″W / 53.575554°N 7.431458°W / 53.575554 ; -7.431458
