Team,Team Based,Stadium Location,Stadium,Stadium Capacity
DRB-Hicom,Kuala Lumpur,Paya Rumput,Hang Jebat Stadium,"40,000"
Felda United,Kuala Lumpur,Kelana Jaya,Petaling Jaya Stadium,"25,000"
Johor Darul Takzim II,Johor Bahru,Pasir Gudang,Pasir Gudang Corporation Stadium,"15,000"
Kedah,Alor Star,Alor Star,Darul Aman Stadium,"32,387"
Negeri Sembilan,Seremban,Seremban,Tuanku Abdul Rahman Stadium,"40,000"
PBAPP,George Town,George Town,Bandaraya Stadium,"16,000"
PDRM,Kuala Lumpur,Kelana Jaya,Petaling Jaya Stadium,"40,000"
Penang,George Town,George Town,Bandaraya Stadium,"16,000"
Perlis,Kangar,Alor Star,Darul Aman Stadium,"32,387"
Putrajaya SPA,Putrajaya,Paya Rumput,Hang Jebat Stadium,"40,000"
Sabah,Kota Kinabalu,Kota Kinabalu,Likas Stadium,"30,000"
UiTM,Shah Alam,Shah Alam,UiTM Stadium,"10,000"
