Position,Channel,Group ( Owner ),Share of total viewing (% )
1,SIC,Impresa,21.6%
2,TVI,Media Capital,20.3%
3,RTP1,RTP,13.5%
4,CMTV,Cofina,4.2%
5,Globo,Rede Globo,3.5%
6,Canal Hollywood,Dreamia,2.0%
7,Canal Disney Portugal,The Walt Disney Company,1.9%
8,SIC Notícias,Impresa,1.8%
9,TVI24,Media Capital,1.7%
10,RTP2,RTP,1.7%
11,FOX,Fox International Channels Portugal,1.7%
12,FOX Movies,Fox International Channels Portugal,1.4%
13,Cartoon Network,Turner Broadcasting System Europe,1.3%
14,SportTV +,Sport TV,1.1%
15,Record,TV Record Europa,1.0%
16,FOX Life,Fox International Channels Portugal,1.0%
17,AXN,Sony Pictures Entertainment,1.0%
18,FOX Comedy,Fox International Channels Portugal,0.6%
19,AXN Black,Sony Pictures Entertainment,0.5%
20,Fox Crime,Fox International Channels Portugal,0.5%
