Club,City,Stadium,Capacity,2015-16 season
Albalonga,Albano Laziale,Pio XII,"1,500",7th in Serie D Girone G
Arzachena,Arzachena,Biagio Pirina,"3,100",6th in Serie D Girone G
Avezzano,Avezzano,dei Marsi,"3,692",10th in Serie D Girone F
Città di Castello,Città di Castello,Corrado Bernicchi,"1,000",13th in Serie D Girone E
Flaminia,Civita Castellana,Turrido Madani,"1,300",9th in Serie D Girone G
Foligno,Foligno,Enzo Blasone,"5,650",8th in Serie D Girone E
L'Aquila,L'Aquila,Gran Sasso d'Italia,"7,000",16th in Lega Pro Girone B
Lanusei,Lanusei,Lixius,,13th in Serie D Girone G
Latte Dolce,Sassari,Vanni Sanna,"5,821",1st in Eccellenza Sardinia
Muravera,Muravera,Comunale,,12th in Serie D Girone G
Nuorese,Nuoro,Franco Frogheri,"7,000",8th in Serie D Girone G
Nuova Monterosi,Monterosi,Marcello Martoni,,1st in Eccellenza Lazio Girone A
Ostia Mare,Ostia,Anco Marzio,"1,000",10th in Serie D Girone G
Rieti,Rieti,Centro d'Italia - Manlio Scopigno,"9,980",4th in Serie D Girone G
San Teodoro,San Teodoro,Comunale,,2nd in Eccellenza Sardinia
Sansepolcro,Sansepolcro,Comunale Buitoni,"2,000",16th in Serie D Girone E
Sporting Trestina,Trestina,Lorenzo Casini,,1st in Eccellenza Umbria
Torres,Sassari,Vanni Sanna,"5,821",3rd in Serie D Girone G
