Title,Russian title,Director,Genre,Notes
Actress,Артистка,Stanislav Govorukhin,Comedy,
12,12,Nikita Mikhalkov,Crime,Remake of Twelve Angry Men
1612,1612,Vladimir Khotinenko,Historical fantasy,About the Time of Troubles
Alexandra,Александра,Aleksandr Sokurov,War Drama,Entered the 2007 Cannes Film Festival
The Apocalypse Code,Код апокалипсиса,Vadim Shmelyov,Action,
The Banishment,Изгнание,Andrey Zvyagintsev,Drama,Entered into the 2007 Cannes Film Festival
The Border,Граница 1918,Lauri Törhönen,War,
Cargo 200,Груз 200,Aleksei Balabanov,Thriller,
Dead Daughters,Мёртвые дочери,Pavel Ruminov,Horror,
Election Day,День выборов,Oleg Fomin,Comedy,
The Fit of Passion,Аффект,Maria Betkina and Arthur Tsymbalyuk,Drama,Short film
Im Staying,Я остаюсь,Karen Oganesyan,Comedy,
The Irony of Fate 2,Ирония судьбы . Продолжение,Timur Bekmambetov,Romantic comedy,
Kilometer Zero,Нулевой километр,Pavel Sanaev,"Action , Crime",
Moscow Chill,Мороз по коже,Chris Solimine,Thriller,Produced and written by Andrey Konchalovskiy
Tins,Консервы,Egor Konchalovsky,Action,
Mermaid,Русалка,Anna Melikyan,"Comedy , drama",Entered into the 2007 Sundance Film Festival
Mongol,Монгол,Sergei Bodrov,Historical,Nominated for the 79th Academy Awards for Best Foreign Language Film as a submission from Kazakhstan
Nothing Personal,Larisa Sadilova,Valeriy Barinov,Drama,Entered into the 29th Moscow International Film Festival
Paragraph 78,Параграф 78,Mikhail Khleborodov,"Action , Science fiction , Thriller",Based on a story by Ivan Okhlobystin
