Name,Location,Diameter ( km ),Age ( Ma/millions )
Brent,Ontario,3.8,396 ± 20
Carswell,Saskatchewan,39,115 ± 10
Charlevoix,Quebec,54,342 ± 15
Couture,Quebec,8,430 ± 25
Deep Bay,Saskatchewan,13,99 ± 4
Eagle Butte,Alberta,10,< 65
Elbow,Saskatchewan,8,395 ± 25
Gow,Saskatchewan,4,< 250
Haughton,"Devon Island , Nunavut",23,39
Holleford,Ontario,2.35,550 ± 100
Île Rouleau,Quebec,4,< 300
La Moinerie,Quebec,8,400 ± 50
Lac à l'Eau Claire Est Clearwater East,Quebec,26,290 ± 20
Lac à l'Eau Claire Ouest Clearwater West,Quebec,36,290 ± 20
Manicouagan,Quebec,100,214 ± 1
Maple Creek,Saskatchewan,6,< 75
Mistastin,Labrador,28,36.4 ± 4
Montagnais,Nova Scotia,45,50.50 ± 0.76
Nicholson,Northwest Territories,12.5,< 400
Pilot,Northwest Territories,6,445 ± 2
