Seasons,Team,Last pennant
43,Seattle Mariners,Never ( franchise started in 1977 )
40,Pittsburgh Pirates,1979
37,Milwaukee Brewers,1982 ( never since joining NL in 1998 )
36,Baltimore Orioles,1983
29,Cincinnati Reds,1990
29,Oakland Athletics,1990
28,Minnesota Twins,1991
26,Toronto Blue Jays,1993
21,San Diego Padres,1998
20,Atlanta Braves,1999
18,Arizona Diamondbacks,2001
17,Los Angeles Angels,2002
16,Miami Marlins,2003
14,Chicago White Sox,2005
12,Colorado Rockies,2007
11,Tampa Bay Rays,2008
10,New York Yankees,2009
10,Philadelphia Phillies,2009
8,Texas Rangers,2011
7,Detroit Tigers,2012
