Year,Title,Role,Notes
1987-1993,The Adventures of Spot,Spot ( voice ),
1990,The Bradys,Kevin Brady,2 episodes
1991,In Living Color,Macaulay Culkin,2 episodes
1991-1998,Home Improvement,Randy Taylor,179 episodes
1993,In Living Color,,Episode : Forever Silky
1994,The Itsy Bitsy Spider,George ( voice ),Episode : Spider Sense
1996,The Oz Kids,Scarecrow Jr ( voice ),
2000,Ally McBeal,Chris Emerson,Episode : Do You Wan na Dance ?
2000,The Wild Thornberrys,Tyler Tucker ( voice ),5 episodes
2002,Smallville,Ian Randall,Episode : Dichotic
2003,The Simpsons,Luke Stetson ( voice ),"Episode : Dude , Where 's My Ranch ?"
2004,Smallville,Ian Randall,Episode : Asylum
2004,8 Simple Rules,Jeremy,3 episodes
2005,Veronica Mars,Ben,Episode : Weapons of Class Destruction
2013-2015,Last Man Standing,John Baker / Randy,4 episodes
