Composer,Life Span,City of Birth
Vasyl Barvinsky,1888-1963,Ternopil
Mykola Vilinsky,1888-1956,"Holta , Ananiev district"
Levko Revutsky,1889-1977,"Irzhavets , Pryluky"
Serhiy Prokofiev,1891-1953,Krasne
Mykhailo Haivoronsky,1892-1949,Zalischyky
Pylyp Kozytsky,1893-1960,"Letychivka , Cherkasy Oblast"
Borys Lyatoshynsky,1895-1968,Zhytomyr
Stanyslav Lyudkevych,1879-1979,Yaroslav ( present-day Poland )
Stefania Turkewich,1898-1977,Lviv
Kostyantyn Dankevych,1905-1984,Odesa
Vitaliy Serhiyovich Hubarenko,1934-2000,Kharkiv
Yuly Meytus,1903-1997,Yelisavetgrad
Heorhiy Maiboroda,1913-1992,Kremenchuk
Ihor Markevych,1912-1983,Kyiv
Dmytro Klebanov,1907-1987,Kharkiv
Platon Maiboroda,1918-1989,Pelekhivshchyna ( Poltava Governorate )
Ihor Shamo,1925-1982,Kyiv
