Club,City,Province,Stadium
Aldosivi ( Mar del Plata ),Mar del Plata,Buenos Aires,José María Minella
Argentinos Juniors,Buenos Aires,( autonomous city ),Diego Armando Maradona
Atlético Tucumán ( Tucumán ),San Miguel de Tucumán,Tucumán,Estadio Monumental José Fierro
Banfield,Banfield,Buenos Aires,Florencio Sola
Belgrano ( Córdoba ),Córdoba,Córdoba,Gigante de Alberdi
Talleres ( Córdoba ),Córdoba,Córdoba,Estadio Mario Alberto Kempes
Boca Juniors,Buenos Aires,( autonomous city ),Alberto J. Armando ( La Bombonera )
Colón ( Santa Fe ),Santa Fe,Santa Fe,Estadio Brigadier General Estanislao López
Defensa y Justicia,Florencio Varela,Buenos Aires,Norberto Tito Tomaghello
Estudiantes ( La Plata ),La Plata,Buenos Aires,Estadio Único de La Plata
Gimnasia y Esgrima ( La Plata ),La Plata,Buenos Aires,Juan Carmelo Zerillo
Godoy Cruz ( Mendoza ),Godoy Cruz,Mendoza,Malvinas Argentinas
Huracán,Buenos Aires,( autonomous city ),Tomás Adolfo Ducó
Independiente,Avellaneda,Buenos Aires,Libertadores de América
Lanús,Lanús,Buenos Aires,Ciudad de Lanús - Néstor Díaz Pérez
Newell 's Old Boys ( Rosario ),Rosario,Santa Fe,Marcelo Bielsa
Patronato ( Paraná ),Paraná,Entre Ríos,Presbítero Bartolomé Grella
Racing Club,Avellaneda,Buenos Aires,Presidente Juan Domingo Perón
River Plate,Buenos Aires,( autonomous city ),Monumental Antonio V. Liberti
Rosario Central ( Rosario ),Rosario,Santa Fe,Gigante de Arroyito
