Team,Head coach,Captain,Kit manufacturer
A.F.C . Leopards,Jan Koops,Martin Imbalambala,Legea
Chemelil Sugar,Edward Manoah,Charles Odero,Adidas
Gor Mahia,Zdravko Logarusić,Jerim Onyango,Legea
Karuturi Sports,Michael Nam,Amon Muchiri,Adidas
Kenya Commercial Bank,James Omondi,Joseph Kangata,Adidas
Mathare United,Stanley Okumbi,Anthony Kimani,Puma
Muhoroni Youth,Alfred Imonje,Nicholas Owende,Prima
Nairobi City Stars,Gideon Ochieng,John Amboko,Adidas
Oserian,Sammy Omollo,John Keo,Adidas
Rangers,James Nandwa,Victor Omondi,Adidas
Sofapaka,Stewart Hall,James Situma,Adidas
Sony Sugar,Zedekiah Otieno,Wilson Oburu,Joma
Thika United,John Kamau,Kepha Aswani,Legea
Tusker,Robert Matano,Joseph Shikokoti,Legea
Ulinzi Stars,Sammy Simiyu,Geoffrey Kokoyo,Adidas
Western Stima,Henry Omino,George Wesa,Adidas
