Title,Date,Region ( s )
Inaka Kurashi : Minami no Shima no Monogatari,September 2002,JP
Fish Eyes 3,June 2003,JP
Rhapsody of Zephyr,January 2004,JP
GUNSLINGER GIRL vol.1,April 2004,JP
UFC : Sudden Impact,April 2004,JP
GUNSLINGER GIRL vol.2,June 2004,JP
XIII,August 2004,JP
GUNSLINGER GIRL vol.3,August 2004,JP
Broken Sword : The Sleeping Dragon,September 2004,JP
The Great Escape,October 2004,JP
Harvest Moon : A Wonderful Life Special Edition,November 2004,JP
River King : A Wonderful Journey,January 2005,JP
Tian Xing : Swords of Destiny,February 2005,JP / EU
Make Your Dream Home 2 ! Takumi,February 2005,JP
Gakkou wo Tsukurou Happy Days ! !,March 2005,JP
BECK : The Game,March 2005,JP
Futakoi Alternative : Koi to Shoujo to Machinegun,June 2005,JP
Mai-HiME : Unmei no Keitōju,June 2005,JP
School Rumble Neru Musume ha Sodatsu,July 2005,JP
Make Your Dream Home 2 ! Kantan Sekkei ! !,February 2006,JP
