Pos,No,Driver,Constructor,Time,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:24.714,
2,3,Michael Schumacher,Ferrari,1:24.805,+0.091
3,2,David Coulthard,McLaren - Mercedes,1:25.014,+0.300
4,4,Rubens Barrichello,Ferrari,1:25.242,+0.528
5,9,Ralf Schumacher,Williams - BMW,1:25.871,+1.157
6,5,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:25.892,+1.178
7,7,Eddie Irvine,Jaguar - Cosworth,1:25.929,+1.215
8,6,Jarno Trulli,Jordan - Mugen-Honda,1:26.002,+1.288
9,22,Jacques Villeneuve,BAR - Honda,1:26.124,+1.410
10,16,Pedro Diniz,Sauber - Petronas,1:26.238,+1.524
11,12,Alexander Wurz,Benetton - Playlife,1:26.281,+1.567
12,17,Mika Salo,Sauber - Petronas,1:26.336,+1.622
13,18,Pedro de la Rosa,Arrows - Supertec,1:26.349,+1.635
14,23,Ricardo Zonta,BAR - Honda,1:26.814,+2.100
15,14,Jean Alesi,Prost - Peugeot,1:26.824,+2.110
16,19,Jos Verstappen,Arrows - Supertec,1:26.845,+2.131
17,8,Johnny Herbert,Jaguar - Cosworth,1:27.051,+2.337
18,10,Jenson Button,Williams - BMW,1:27.135,+2.421
19,11,Giancarlo Fisichella,Benetton - Playlife,1:27.253,+2.539
20,21,Gastón Mazzacane,Minardi - Fondmetal,1:28.161,+3.447
