Date,Ship,Country,Builder,Location,Class / type
1 December,Colbert,United States,California Shipbuilding Corporation,Los Angeles,Haskell -class attack transport
2 December,Colorado Springs Victory,United States,"Permanente Metals , # 2 Yard","Richmond , California",Victory ship
2 December,George W. Norris,United States,J . A. Jones Construction Company,"Brunswick , Georgia",Liberty ship
2 December,James Eagan Layne,United States,Delta Shipbuilding Company,New Orleans,Liberty ship
2 December,Lewiston Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
2 December,Collingsworth,United States,California Shipbuilding Corporation,Los Angeles,Haskell -class attack transport
2 December,U 3023,Nazi Germany,AG Weser,Bremen,Type XXI submarine
2 December,Empire Becky,United Kingdom,Henry Scarr Ltd,Hessle,Tug
3 December,U 3521,Nazi Germany,Schichau-Werke,Danzig,Type XXI submarine
3 December,U 3522,Nazi Germany,Schichau-Werke,Danzig,Type XXI submarine
3 December,Joseph Lee,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
3 December,Thomas F. Meagher,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
4 December,Calvin Austin,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
4 December,Chapel Hill Victory,United States,Bethlehem-Fairfield Shipyards,Baltimore,Victory ship
4 December,Jacob Chandler Harper,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
4 December,Martin Behrman,United States,Delta Shipbuilding Company,New Orleans,Liberty ship
4 December,Minot Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
5 December,Eufaula Victory,United States,Bethlehem-Fairfield Shipyards,Baltimore,Victory ship
5 December,James H. Price,United States,Southeastern Shipbuilding Corporation,"Savannah , Georgia",Liberty ship
5 December,Bergen,United States,Kaiser Company,"Vancouver , Washington",Haskell -class attack transport
