Club,Home city,2009 result
Botafogo-SP,Ribeirão Preto,15th
Bragantino,Bragança Paulista,10th
Corinthians,São Paulo,1st
Grêmio Prudente,Presidente Prudente,8th
Ituano,Itu,13th
Mirassol,Mirassol,7th
Mogi Mirim,Mogi Mirim,16th
Monte Azul,Monte Azul Paulista,1st ( Série A2 )
Oeste,Itápolis,14th
Palmeiras,São Paulo,3rd
Paulista,Jundiaí,12th
Ponte Preta,Campinas,9th
Portuguesa,São Paulo,5th
Rio Branco-SP,Americana,2nd ( Série A2 )
Rio Claro,Rio Claro,3rd ( Série A2 )
Santo André,Santo André,6th
Santos,Santos,2nd
Sertãozinho,Sertãozinho,4th ( Série A2 )
São Caetano,São Caetano do Sul,11th
São Paulo,São Paulo,4th
