Name,Main Title,Dynasty,Date,Comment
Tabekenamun,Queen,25th dynasty,fl . c. late-8th century BC,Tabekenamun was a daughter of King Piye and may have been a queen consort to her brother Taharqa or to Shabaka
Tabiry,Queen,25th dynasty,fl . c. mid-8th century BC,Tabiry was the daughter of Alara of Nubia and his wife Kasaqa and the wife of King Piye
Tadibast III,Queen,22nd dynasty,fl . c. mid-8th century BC,Tadibast III was the mother of Osorkon IV and likely the wife of Shoshenq V
Tadukhipa,Queen,18th dynasty,fl . c. mid-14th century BC,"A daughter of Tushratta , king of Mitanni and his queen , Juni . Tushratta married his daughter to his ally pharaoh Amenhotep III to cement their two states ' alliances . Amenhotep III died shortly after Tadukhipa arrived in Egypt so she eventually married his son and heir Akhenaten . Her name is sometime written as Tadu-Hepa"
Taharqa,Pharaoh,25th dynasty,reigned c. 690 BC - c. 664 BC,"He was the son of Piye , the Nubian king of Napata who had first conquered Egypt . During his reign , Assyria forces under General Esarhaddon invaded Egypt and managed to conquer Lower Egypt putting Neto I on the throne in Sias"
Takahatenamun,Queen,25th dynasty,8th century BC,She was the daughter of King Piye and the sister-wife of King Taharqa
Takelot I Hedjkheperre Setepenre,Pharaoh,22nd dynasty,reigned c. 885 BC - c. 872 BC,"He was a son of Osorkon I and Queen Tashedkhonsu . He married Kapes who bore him a son , Osorkon II . Takelot I 's authority was not fully recognised in Upper Egypt where a local Theban king challenged his authority"
Takelot II Si-Ese Hedjkheperre Setepenre,Pharaoh,23rd dynasty,reigned c. 840 BC - c. 815 BC,"A Pharaoh and High Priest of Amun , ruling Middle and Upper Egypt separately from the Tanite 22nd dynasty kings who at that time only controlled Lower Egypt"
Takelot III Si-Ese Usimare Setepenamun,Pharaoh,23rd dynasty,reigned c. 774 BC - c. 759 BC,He was Osorkon III 's eldest son and successor and High Priest of Amun at Thebes
Takhat,Queen,19th dynasty,fl . c. late 13th century BC,The mother of the usurper pharaoh Amenmesse . She was a queen consort to either Merenptah or Seti II
Takhat,Queen-Mother,20th dynasty,fl . c. late 13th century BC,"The mother of pharaoh Ramesses IX and probably the wife of Montuherkhepeshef , a son of Ramesses III"
Takhuit,Queen,26th dynasty,fl . c. 6th century BC,Takhuit was the wife of Psamtik II and the mother of Pharaoh Apries and the God 's Wife of Amun Ankhnesneferibre
Talakhamani,King of Kush,,fl . c. mid-5th century BC,A Kushite King of Meroe ( reigned c. 435 BC - c. 431 BC ) . He may have been a son of Nasakhma and a younger brother of Malewiebamani . It is also possible Talakhamani was a son of Malewiebamani
Tantamani,Pharaoh,25th dynasty,reigned c. 664 BC - c. 656 BC,"After the Assyrians had appointed Necho I as king and left Egypt , Tantamani marched from Nubia , killed Necho I in battle and reoccupied all of Egypt . The Assyrians returned to Egypt defeated Tantamani 's army and effectively ended Nubian control over Egypt . Also known as Tandaname , Tanwetamani or Tementhes"
Seqenenre Tao,Pharaoh,17th dynasty,fl . c. mid-16th century BC,Ruled over the local kingdoms of the Theban region of Egypt in the 17th dynasty ( reigned c. 1558 BC - c. 1554 BC ) . He probably was the son and successor to Senaktenre Ahmose and Queen Tetisheri . Also known as Sekenenra Taa
Tashedkhonsu,Queen,22nd dynasty,fl . c. late-10th century BC,Wife of Pharaoh Osorkon I and the mother of Pharaoh Takelot I
Tawerettenru,Queen,20th dynasty,fl . c. mid-12th century BC,The Royal Wife of Ramesses V
Tefibi,Nomarch of Asyut,10th dynasty,fl . c. 21st century BCE,"Nomarch of Asyut , he helped an Herakleopolite pharaoh of the 10th dynasty in the reconquest of Thinis"
Tefnakht Shepsesre,Pharaoh,24th dynasty,reigned c. 732 BC - c. 725 BC,"A Libyan-descended prince of Sais , Great Chief of the Meshwesh and Great Chief of the Libu , and founder of the 24th dynasty of Egypt . Tefnakht established his capital at Sais and was able to unify many of the cities of the Delta region . Also known as Tnephachthos"
Tefnakht II,Local King,25th dynasty,fl . c. early-7th century BC,A native king who ruled Sais during the 25th Nubian Dynasty of Egypt
