Seasons,Footballers,Teams/Clubs
2019,Shahrul Saad,Perak
2018,Shahrul Saad,Perak
2017,Matthew Davies,Pahang FA
2016,Rizal Ghazali,Kedah FA
2015,Aidil Zafuan Abdul Radzak,Johor Darul Ta'zim F.C
2014,Mohd Razman Roslan,Pahang FA
2013,Baihakki Khaizan,LionsXII
2012,Mohd Aidil Zafuan Abdul Radzak,ATM FA
2011,Norhafiz Zamani Misbah,Negeri Sembilan FA
2010,Mohd Aidil Zafuan Abdul Radzak,Negeri Sembilan FA
2009,Mohd Aidil Zafuan Abdul Radzak,Negeri Sembilan FA
2007-08,Victor Andrag,Kedah FA
2006-07,Victor Andrag,Kedah FA
2005-06,Khairul Anuar Baharom,Negeri Sembilan FA
