Site,Date ( s ),Designated,Location,Description
Ann Baillie Building,1904 ( completed ),1997,Kingston 44°13′25.56″N 76°29′32.53″W / 44.2237667°N 76.4923694°W / 44.2237667 ; -76.4923694 ( Ann Baillie Building ),"One of the first purpose-built nurses residences in Canada , the building represents the professionalization of nursing in Canada in the early 20th-century , and now serves as the Museum of Health Care"
Bellevue House,1841 ( completed ),1995,Kingston 44°13′22″N 76°30′12″W / 44.22278°N 76.50333°W / 44.22278 ; -76.50333 ( Bellevue House ),"A noted example of Italianate architecture in the Picturesque manner in Canada , and the former residence of John A. Macdonald , a Father of Confederation and the first Prime Minister of Canada"
Cataraqui Cemetery,1850 ( established ),2011,Kingston 44°15′52″N 76°32′28″W / 44.26444°N 76.54111°W / 44.26444 ; -76.54111 ( Cataraqui Cemetery ),"One of the best examples of a medium-sized rural or garden cemetery in Canada , containing a range of remarkable monuments , a Gothic Revival lodge , and the graves of many notable Canadians , including John A. Macdonald , the first Prime Minister ( itself a NHS )"
Elizabeth Cottage,1843 ( completed ),1993,Kingston 44°13′54.46″N 76°29′20.26″W / 44.2317944°N 76.4889611°W / 44.2317944 ; -76.4889611 ( Elizabeth Cottage ),A representative example of a 19th-century Gothic Revival villa
Fort Frontenac,1673 ( original fort completed ),1923,Kingston 44°14′00″N 76°28′43″W / 44.23333°N 76.47861°W / 44.23333 ; -76.47861 ( Fort Frontenac ),"Originally a French trading post that served as a gateway to the West , the base of Robert de LaSalle s explorations and a French outpost against the Iroquois and English forces"
Fort Henry,1840 ( completed ),1923,Kingston 44°13′48.95″N 76°27′34.85″W / 44.2302639°N 76.4596806°W / 44.2302639 ; -76.4596806 ( Fort Henry ),"British fort that served as the principal fortification among a series of military works designed to defend Kingston , its harbour and dockyard and the entrance to the Rideau Canal"
Frontenac County Court House,1858 ( completed ),1980,Kingston 44°13′40″N 76°29′23″W / 44.227777°N 76.489777°W / 44.227777 ; -76.489777 ( Frontenac County Court House ),"Representative of the large-scale court houses erected in Ontario after 1850 , when the Municipal Act was amended to give increased power to counties to construct court houses on a monumental scale to accommodate various county functions"
Kingston City Hall and Market Square,1844 ( completed ),1961,Kingston 44°13′47.68″N 76°28′50.1″W / 44.2299111°N 76.480583°W / 44.2299111 ; -76.480583 ( Kingston City Hall ),"A prominent example of the Neoclassical style in Canada , with a landmark tholobate and dome ; its scale and design are reflective of Kingtson 's status at the time of construction as capital of the Province of Canada . The Kingston Public Market , founded in 1801 , is behind city hall and part of the national historic site and is the oldest public market in Ontario"
Kingston Customs House,1859 ( completed ),1971,Kingston 44°13′46.64″N 76°28′56.45″W / 44.2296222°N 76.4823472°W / 44.2296222 ; -76.4823472 ( Kingston Customs House ),A limestone former customs house ; an excellent example of the architectural quality of mid-19th-century public buildings designed in the British classical tradition
Kingston Dry Dock,1892 ( completed ),1978,Kingston 44°13′30.63″N 76°29′0.16″W / 44.2251750°N 76.4833778°W / 44.2251750 ; -76.4833778 ( Kingston Dry Dock ),"An important construction and repair facility for ships on the Great Lakes ; noted for the Second World War naval vessels , notably corvettes , built in this dry dock"
Kingston Fortifications,1840 ( completed ),1989,Kingston 44°13′20″N 76°29′25″W / 44.222275°N 76.490357°W / 44.222275 ; -76.490357 ( Kingston Fortifications ),"A fortification system consisting of five installations ( Fort Henry NHS , Fort Frederick , Murney Tower NHS , Shoal Tower NHS and Cathcart Tower ) , crucial to the 19th century defense of Kingston and the terminus of the Rideau Canal"
