2010,2009,2008,University,Country
01,01,01,Harvard University,US
02,02,02,University of Michigan- Ann Arbor,US
03,05,05,Columbia University,US
04,03,04,University of Pennsylvania,US
05,04,03,University of California- Los Angeles,US
06,06,08,Stanford University,US
07,07,06,University of Washington- Seattle,US
08,11,12,University of North Carolina- Chapel Hill,US
09,10,09,University of California - Berkeley,US
10,14,13,University of Minnesota- Twin Cities,US
11,08,11,Johns Hopkins University,US
12,09,07,The University of Chicago,US
13,13,14,Yale University,US
14,12,18,Duke University,US
15,28,29,University of Oxford,United Kingdom
16,16,22,University of Toronto,Canada
17,20,10,University of Wisconsin- Madison,US
18,15,17,Northwestern University,US
19,21,23,University of Pittsburgh- Pittsburgh,US
20,23,19,University of California- San Francisco,US
