Pos,No,Driver,Constructor,Time,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:26.362,
2,2,David Coulthard,McLaren - Mercedes,1:26.384,+0.022
3,3,Michael Schumacher,Ferrari,1:26.538,+0.176
4,4,Eddie Irvine,Ferrari,1:26.993,+0.631
5,22,Jacques Villeneuve,BAR - Supertec,1:27.313,+0.951
6,16,Rubens Barrichello,Stewart - Ford,1:27.409,+1.047
7,8,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:27.613,+1.251
8,7,Damon Hill,Jordan - Mugen-Honda,1:27.708,+1.346
9,6,Ralf Schumacher,Williams - Supertec,1:27.770,+1.408
10,5,Alessandro Zanardi,Williams - Supertec,1:28.142,+1.780
11,18,Olivier Panis,Prost - Peugeot,1:28.205,+1.843
12,17,Johnny Herbert,Stewart - Ford,1:28.246,+1.884
13,11,Jean Alesi,Sauber - Petronas,1:28.253,+1.891
14,19,Jarno Trulli,Prost - Peugeot,1:28.403,+2.041
15,12,Pedro Diniz,Sauber - Petronas,1:28.599,+2.237
16,9,Giancarlo Fisichella,Benetton - Playlife,1:28.750,+2.388
17,10,Alexander Wurz,Benetton - Playlife,1:28.765,+2.403
18,14,Pedro de la Rosa,Arrows,1:29.293,+2.931
19,23,Mika Salo,BAR - Supertec,1:29.451,+3.089
20,15,Toranosuke Takagi,Arrows,1:29.656,+3.294
