Club,Position 2018-19,Greek League Arena,Seating Capacity,EuroLeague / EuroCup / Champions League Arena*,Seating Capacity
AEK,3rd,"Nikos Galis Olympic Indoor Hall , Athens","19,250","Nikos Galis Olympic Indoor Hall , Athens","19,250"
Aris,8th,"Alexandrio Melathron , Thessaloniki","5,138","Alexandrio Melathron , Thessaloniki","5,138"
Ifaistos Limnou,6th,"Nikos Samaras Indoor Hall , Myrina","1,260",,
Ionikos Nikaias,1st ( A2 ),"Sofia Befon Indoor Hall , Palaio Faliro , Athens","1,204",,
Iraklis Thessaloniki,2nd ( A2 ),"Ivanofeio Sports Arena , Thessaloniki","2,500",,
Kolossos Rodou,13th,"Kallithea Palais des Sports , Rhodes City","1,400",,
Larisa,7th ( A2 ),"Larissa Neapolis Indoor Arena , Larissa","4,000","Larissa Neapolis Indoor Arena , Larissa","4,000"
Lavrio,12th,"Lavrio Indoor Hall , Lavrio","1,700",,
Panathinaikos OPAP,1st,"Nikos Galis Olympic Indoor Hall , Marousi , Athens","19,250","Nikos Galis Olympic Indoor Hall , Marousi , Athens","19,250"
Panionios,10th,"Sofia Befon Indoor Hall , Palaio Faliro , Athens","1,204",,
PAOK,5th,"PAOK Sports Arena , Pylaia","8,500","PAOK Sports Arena , Pylaia","8,500"
Peristeri,4th,"Peristeri Indoor Hall , Peristeri , Athens","4,000","Peristeri Indoor Hall , Peristeri , Athens","4,000"
Promitheas Patras,2nd,"Dimitris Tofalos Arena , Patras","4,150","Dimitris Tofalos Arena , Patras","4,150"
Rethymno Cretan Kings,9th,"Rethymno Indoor Hall , Rethymno","1,600",,
