Title,Artist,Weeks at number one
Stand Up / Not Many,Scribe,12
Axel F,Crazy Frog,11
Brother,Smashproof featuring Gin Wigmore,11
Poker Face,Lady Gaga,10
I Got ta Feeling,The Black Eyed Peas,9
Complicated,Avril Lavigne,9
Forever,Chris Brown,8
In da Club,50 Cent,8
"Whenever , Wherever",Shakira,8
Apologize,Timbaland featuring OneRepublic,7
Beep,Pussycat Dolls featuring will.i.am,7
Crawl,Atlas,7
Crazy,Gnarls Barkley,7
Groovejet ( If This Ai n't Love ),Spiller featuring Sophie Ellis-Bextor,7
I 'm Outta Love,Anastacia,7
No Air,Jordin Sparks and Chris Brown,7
The Ketchup Song,Las Ketchup,7
They Ca n't Take That Away,Ben Lummis,7
Moonshine,Savage featuring Akon,7
SexyBack,Justin Timberlake featuring Timbaland,7
