Year,Title,Role
1978,A Wedding,Maid
1985,Desperately Seeking Susan,Leslie Glass
1987,Making Mr . Right,Sandy
1988,Candy Mountain,Alice
1988,Stars and Bars,Melissa
1988,The Appointments of Dennis Jennings,Emma
1988,Miles from Home,Exotic Dancer
1989,Uncle Buck,Marcie Dahlgren-Frost
1990,Internal Affairs,Amy Wallace
1990,Pacific Heights,Stephanie MacDonald
1991,JFK,Susie Cox
1992,Mistress,Rachel Landisman
1993,A Dangerous Woman,Anita Bell
1994,The Secret Life of Houses,Ann
1994,Blink,Candice
1995,Leaving Las Vegas,Landlady
1995,Toy Story,Mrs. Davis
1996,Dear God,Rebecca Frazen
1997,U Turn,Bus Station Clerk
1997,Chicago Cab,Female Ad Exec
