Network,Origin of programming,Language,Genre,Service
ABP News,India,Hindi,News,Pehla
ARY Digital,Pakistan,Urdu,General,Pehla
Asianet,India,Malayalam,General,Pehla
Asianet News,India,Malayalam,News,Pehla
Colors,India,Hindi,General,Pehla
Gemini,India,Telugu,General,Pehla
Geo,Pakistan,Urdu,General,Pehla
Hum TV,Pakistan,Urdu,General,Pehla
Indus Vision,Pakistan,Urdu,General,Pehla
Jaya TV,India,Tamil,General,Pehla
Kairali,India,Malayalam,General,Pehla
Star Bharat,India,Hindi,General,Pehla
MTV India,India,Hindi,Music,Pehla
NDTV 24x7,India,English,News,Pehla
SET Max,India,Hindi,Movies,Pehla
Sony Entertainment Television Asia,India,Hindi,General,Pehla
STAR Gold,India,Hindi,Movies,Pehla
STAR Jalsha,India,Bengali,General,Pehla
STAR Plus,India,Hindi,General,Pehla
Sun TV,India,Tamil,General,Pehla
