Title,Russian title,Director,Cast,Genre
4,,Ilya Khrzhanovsky,"Marina Vovchenko , Sergey Shnurov",Drama
The 9th Company,9 рота,Fyodor Bondarchuk,"Artur Smolyaninov , Aleksey Chadov , Konstantin Kryukov",War
Poor Relatives,Бедные родственники,Pavel Lungin,"Konstantin Khabensky , Sergei Garmash , Marina Golub",Comedy
Dead Man 's Bluff,Жмурки,Aleksei Balabanov,"Nikita Mikhalkov , Aleksei Serebryakov , Dmitri Dyuzhev","Crime , comedy"
Dust,Пыль,Sergei Loban,Aleksei Podolsky,Drama
Dreaming of Space,Космос как предчувствие,Alexei Uchitel,"Yevgeny Mironov , Yevgeny Tsyganov",Drama
First on the Moon,Первые на Луне,Aleksey Fedorchenko,Aleksei Anisimov,Mockumentary
The Italian,Итальянец,Andrei Kravchuk,Kolya Spiridonov,Drama
Hunting for Asphalt,Охота на асфальте,,,Drama
The Master and Margarita,Мастер и Маргарита,Vladimir Bortko,"Anna Kovalchuk , Aleksandr Galibin , Oleg Basilashvili , Vladislav Galkin , Sergey Bezrukov","Fantasy , drama"
Shadowboxing,Бой с тенью,Aleksei Sidorov,"Denis Nikiforov , Yelena Panova , Andrey Panin",Sport drama
The State Counsellor,Статский советник,Filipp Yankovsky,"Oleg Menshikov , Nikita Mikhalkov , Konstantin Khabensky",Detective
The Sun,Солнце,Alexander Sokurov,Issey Ogata,Historical drama
The Turkish Gambit,Турецкий гамбит,Dzhanik Faiziyev,"Egor Beroev , Olga Krasko","History , Spy"
They Chose Freedom,Они выбирали свободу,Vladimir V. Kara-Murza,,Documentary
