Title,Developer ( s ),Publisher ( s ),Release Date,ESRB
Gaplus,Namco,Bandai Namco,"March 25 , 2009",E
Mappy,Namco,Bandai Namco,"March 25 , 2009",E
Star Force,Tecmo,Tecmo,"March 25 , 2009",E
The Tower of Druaga,Namco,Bandai Namco,"March 25 , 2009",E
Space Harrier,Sega,Sega,"June 15 , 2009",E
Tecmo Bowl,Tecmo,Tecmo,"August 3 , 2009",E
Altered Beast,Sega,Sega,"September 28 , 2009",E10+
Rygar,Tecmo,Tecmo,"October 19 , 2009",E10+
Golden Axe,Sega,Sega,"October 26 , 2009",T
Solomon 's Key,Tecmo,Tecmo,"November 30 , 2009",E
Shinobi,Sega,Sega,"December 7 , 2009",E10+
Ninja Gaiden,Tecmo,Tecmo,"December 21 , 2009",E10+
Zaxxon,Sega,Sega,"April 12 , 2010",E
SonSon,Capcom,Capcom,"December 6 , 2010",E
Commando,Capcom,Capcom,"December 6 , 2010",E10+
Exed Exes,Capcom,Capcom,"January 10 , 2011",E
Ghosts ' n Goblins,Capcom,Capcom,"January 10 , 2011",E
1942,Capcom,Capcom,"January 24 , 2011",E
Black Tiger,Capcom,Capcom,"January 24 , 2011",E
Super Hang-On,Sega,Sega,"May 3 , 2012",E10+
