#,Title,Characters,Year,Series
1,"Beep , Beep",Wile E. Coyote and the Road Runner,"May 24 , 1952",MM
2,Going ! Going ! Gosh !,Wile E. Coyote and the Road Runner,"August 23 , 1952",MM
3,Zipping Along,Wile E. Coyote and the Road Runner,"September 19 , 1953",MM
4,Stop ! Look ! And Hasten !,Wile E. Coyote and the Road Runner,"August 14 , 1954",MM
5,"Ready , Set , Zoom !",Wile E. Coyote and the Road Runner,"April 30 , 1955",LT
6,Guided Muscle,Wile E. Coyote and the Road Runner,"December 10 , 1955",LT
7,Gee Whiz-z-z-z-z-z-z,Wile E. Coyote and the Road Runner,"May 5 , 1956",LT
8,There They Go-Go-Go !,Wile E. Coyote and the Road Runner,"November 10 , 1956",LT
9,Scrambled Aches,Wile E. Coyote and the Road Runner,"January 26 , 1957",LT
10,Zoom and Bored,Wile E. Coyote and the Road Runner,"September 14 , 1957",MM
11,"Whoa , Be-Gone !",Wile E. Coyote and the Road Runner,"April 12 , 1958",MM
12,Cheese Chasers,"Claude Cat , Hubie and Bertie , Marc Antony","August 25 , 1951",MM
13,The Dover Boys,,"September 19 , 1942",MM
14,Mouse Wreckers,"Claude Cat , Hubie and Bertie","April 23 , 1949",LT
15,A Bear for Punishment,The Three Bears,"October 20 , 1951",LT
