Ommer,Nibling,Country
Afa Anoaʻi Sika Anoaʻi,Reno Anoaʻi Rodney Anoa ' i Sam Fatu Eddie Fatu,"American Samoa , United States"
The Barbarian,Lei 'D Tapa,United States
Jack Brisco,Wes Brisco,United States
Bob Brown,Kerry Brown,United States
Édouard Carpentier,Jackie Wiecz,Canada
Ted and Vic Christy,Bobby and Jerry Colt,United States
Carlos Colón,Orlando Colón,Puerto Rico
"Dos Caras , Mil Mascaras",Sicodelico Jr,Mexico
Mil Mascaras Sicodelico Sr,Alberto Del Rio,Mexico
Espanto I,"Espanto IV , Espanto V",Mexico
El Espectro,El Espectro Jr. Cadaver de Ultrarumba Guerrero de la Muerte,Mexico
Chick Garibaldi,Leo Garibaldi,United States
Hulk Hogan,Horace Boulder,United States
Johnny Ibarra El Desalmado,Volador Jr,Mexico
Karloff Lagarde,Karloff Lagarde Jr,Mexico
Rey Misterio,Rey Misterio Jr,Mexico
Jet Monroe,Bubba Monroe,United States
Ted Oates,Bo Oates,United States
Rip Oliver,Earl Oliver,United States
Ed Farhat,Sabu,United States
