Rank,Country,Team,Time
1,South Africa,Hendrick Ramaala Abner Chipu Mluleki Nobanda,3:06:01
2,Ethiopia,Tesfaye Jifar Tesfaye Tola Fekadu Degefu,3:06:03
3,Kenya,Paul Tergat Laban Chege Sammy Korir,3:06:03
4,France,Abdellah Béhar Larbi Zéroual Mohamed Serbouti,3:08:39
5,Portugal,Eduardo Henriques Alberto Chaíça José Ramos,3:08:50
6,Japan,Toshiyuki Hayata Toshiaki Tezuka Shigeru Aburaya,3:09:21
7,Italy,Rachid Berradi Giacomo Leone Roberto Barbi,3:11:05
8,Spain,Teodoro Cuñado Javier Caballero Antonio Serrano,3:11:10
9,Netherlands,Kamiel Maase Aiduna Aitnafa Marco Gielen,3:11:43
10,United States,Scott Larson John Sence Kevin Odiorne,3:14:28
11,Algeria,Rachid Ziar Amar Dahbi Kamal Kohil,3:14:10
12,Belgium,Koen Allaert Christian Nemeth Stéphane Rousseau,3:14:52
13,Great Britain,Mark Steinle Nick Jones David Taylor,3:16:21
14,Mexico,Alejandro Cuahtepizi Miguel Bravo Francisco Bautista,3:18:57
15,Uganda,Jafred Lorone Francis Yiga Job Sikoria,3:19:01
16,Egypt,Ahmed Abd El-Mangoud Fouly Salem Ahmed Abdel Rasool Badry,3:19:41
17,Germany,Sebastian Bürklein Christian Fischer Oliver Mintzlaff,3:19:57
18,Estonia,Pavel Loskutov Toomas Tarm Margus Pirksaar,3:20:25
19,Belarus,Vladimir Tsyamchik Zarislav Gapeyenko Vladimir Tonchinskiy,3:21:48
20,Swaziland,Sipho Dlamini Isaiah Dlamini Lucky Bhembe,3:22:25
